case_id,param_i,param_j,correlation
0,epi_thickness_um,epi_thickness_um,1.0
0,epi_thickness_um,epi_plasma1_thz,0.25527332877668085
0,epi_thickness_um,epi_gamma1_thz,-0.2533207264900637
0,epi_thickness_um,epi_plasma2_thz,-0.23685064891573224
0,epi_thickness_um,epi_gamma2_thz,-0.26000712722409125
0,epi_thickness_um,oxide_thickness_um,-0.7106931766350594
0,epi_plasma1_thz,epi_thickness_um,0.25527332877668085
0,epi_plasma1_thz,epi_plasma1_thz,1.0
0,epi_plasma1_thz,epi_gamma1_thz,-0.9995416389874197
0,epi_plasma1_thz,epi_plasma2_thz,-0.9897904620321684
0,epi_plasma1_thz,epi_gamma2_thz,-0.9752459175465795
0,epi_plasma1_thz,oxide_thickness_um,0.14594796809690774
0,epi_gamma1_thz,epi_thickness_um,-0.2533207264900637
0,epi_gamma1_thz,epi_plasma1_thz,-0.9995416389874197
0,epi_gamma1_thz,epi_gamma1_thz,1.0
0,epi_gamma1_thz,epi_plasma2_thz,0.9894441441800612
0,epi_gamma1_thz,epi_gamma2_thz,0.9681346893927812
0,epi_gamma1_thz,oxide_thickness_um,-0.14505059073444238
0,epi_plasma2_thz,epi_thickness_um,-0.23685064891573224
0,epi_plasma2_thz,epi_plasma1_thz,-0.9897904620321684
0,epi_plasma2_thz,epi_gamma1_thz,0.9894441441800612
0,epi_plasma2_thz,epi_plasma2_thz,1.0
0,epi_plasma2_thz,epi_gamma2_thz,0.9674935566982966
0,epi_plasma2_thz,oxide_thickness_um,-0.09085463730607213
0,epi_gamma2_thz,epi_thickness_um,-0.26000712722409125
0,epi_gamma2_thz,epi_plasma1_thz,-0.9752459175465795
0,epi_gamma2_thz,epi_gamma1_thz,0.9681346893927812
0,epi_gamma2_thz,epi_plasma2_thz,0.9674935566982966
0,epi_gamma2_thz,epi_gamma2_thz,1.0
0,epi_gamma2_thz,oxide_thickness_um,-0.14050622086525805
0,oxide_thickness_um,epi_thickness_um,-0.7106931766350594
0,oxide_thickness_um,epi_plasma1_thz,0.14594796809690774
0,oxide_thickness_um,epi_gamma1_thz,-0.14505059073444238
0,oxide_thickness_um,epi_plasma2_thz,-0.09085463730607213
0,oxide_thickness_um,epi_gamma2_thz,-0.14050622086525805
0,oxide_thickness_um,oxide_thickness_um,1.0
1,epi_thickness_um,epi_thickness_um,1.0
1,epi_thickness_um,epi_plasma1_thz,0.17848616620933608
1,epi_thickness_um,epi_gamma1_thz,0.173650319871194
1,epi_thickness_um,epi_plasma2_thz,-0.13529772945193694
1,epi_thickness_um,epi_gamma2_thz,-0.18530451410895943
1,epi_thickness_um,oxide_thickness_um,-0.7406897609268689
1,epi_plasma1_thz,epi_thickness_um,0.17848616620933608
1,epi_plasma1_thz,epi_plasma1_thz,1.0
1,epi_plasma1_thz,epi_gamma1_thz,0.9160923319388816
1,epi_plasma1_thz,epi_plasma2_thz,-0.9526827986387911
1,epi_plasma1_thz,epi_gamma2_thz,-0.9412453710758758
1,epi_plasma1_thz,oxide_thickness_um,0.12832183651728613
1,epi_gamma1_thz,epi_thickness_um,0.173650319871194
1,epi_gamma1_thz,epi_plasma1_thz,0.9160923319388816
1,epi_gamma1_thz,epi_gamma1_thz,1.0
1,epi_gamma1_thz,epi_plasma2_thz,-0.9034715451759108
1,epi_gamma1_thz,epi_gamma2_thz,-0.9945836120887459
1,epi_gamma1_thz,oxide_thickness_um,0.08188279942623397
1,epi_plasma2_thz,epi_thickness_um,-0.13529772945193694
1,epi_plasma2_thz,epi_plasma1_thz,-0.9526827986387911
1,epi_plasma2_thz,epi_gamma1_thz,-0.9034715451759108
1,epi_plasma2_thz,epi_plasma2_thz,1.0
1,epi_plasma2_thz,epi_gamma2_thz,0.9008637269110276
1,epi_plasma2_thz,oxide_thickness_um,-0.0077792245183442195
1,epi_gamma2_thz,epi_thickness_um,-0.18530451410895943
1,epi_gamma2_thz,epi_plasma1_thz,-0.9412453710758758
1,epi_gamma2_thz,epi_gamma1_thz,-0.9945836120887459
1,epi_gamma2_thz,epi_plasma2_thz,0.9008637269110276
1,epi_gamma2_thz,epi_gamma2_thz,1.0
1,epi_gamma2_thz,oxide_thickness_um,-0.11771979855750422
1,oxide_thickness_um,epi_thickness_um,-0.7406897609268689
1,oxide_thickness_um,epi_plasma1_thz,0.12832183651728613
1,oxide_thickness_um,epi_gamma1_thz,0.08188279942623397
1,oxide_thickness_um,epi_plasma2_thz,-0.0077792245183442195
1,oxide_thickness_um,epi_gamma2_thz,-0.11771979855750422
1,oxide_thickness_um,oxide_thickness_um,1.0
2,epi_thickness_um,epi_thickness_um,1.0
2,epi_thickness_um,epi_plasma1_thz,0.20100031456110387
2,epi_thickness_um,epi_gamma1_thz,-0.17130557284030046
2,epi_thickness_um,epi_plasma2_thz,-0.16888113446712152
2,epi_thickness_um,epi_gamma2_thz,-0.20742782031949708
2,epi_thickness_um,oxide_thickness_um,-0.7328777292806571
2,epi_plasma1_thz,epi_thickness_um,0.20100031456110387
2,epi_plasma1_thz,epi_plasma1_thz,1.0
2,epi_plasma1_thz,epi_gamma1_thz,-0.9552909871489171
2,epi_plasma1_thz,epi_plasma2_thz,-0.9726940521452914
2,epi_plasma1_thz,epi_gamma2_thz,-0.9560497364074896
2,epi_plasma1_thz,oxide_thickness_um,0.13032429411709212
2,epi_gamma1_thz,epi_thickness_um,-0.17130557284030046
2,epi_gamma1_thz,epi_plasma1_thz,-0.9552909871489171
2,epi_gamma1_thz,epi_gamma1_thz,1.0
2,epi_gamma1_thz,epi_plasma2_thz,0.9381634933622156
2,epi_gamma1_thz,epi_gamma2_thz,0.8277418687991653
2,epi_gamma1_thz,oxide_thickness_um,-0.10825956258180598
2,epi_plasma2_thz,epi_thickness_um,-0.16888113446712152
2,epi_plasma2_thz,epi_plasma1_thz,-0.9726940521452914
2,epi_plasma2_thz,epi_gamma1_thz,0.9381634933622156
2,epi_plasma2_thz,epi_plasma2_thz,1.0
2,epi_plasma2_thz,epi_gamma2_thz,0.932002670612575
2,epi_plasma2_thz,oxide_thickness_um,-0.03912930730258227
2,epi_gamma2_thz,epi_thickness_um,-0.20742782031949708
2,epi_gamma2_thz,epi_plasma1_thz,-0.9560497364074896
2,epi_gamma2_thz,epi_gamma1_thz,0.8277418687991653
2,epi_gamma2_thz,epi_plasma2_thz,0.932002670612575
2,epi_gamma2_thz,epi_gamma2_thz,1.0
2,epi_gamma2_thz,oxide_thickness_um,-0.12292009204155492
2,oxide_thickness_um,epi_thickness_um,-0.7328777292806571
2,oxide_thickness_um,epi_plasma1_thz,0.13032429411709212
2,oxide_thickness_um,epi_gamma1_thz,-0.10825956258180598
2,oxide_thickness_um,epi_plasma2_thz,-0.03912930730258227
2,oxide_thickness_um,epi_gamma2_thz,-0.12292009204155492
2,oxide_thickness_um,oxide_thickness_um,1.0
3,epi_thickness_um,epi_thickness_um,1.0
3,epi_thickness_um,epi_plasma1_thz,0.04934249015127353
3,epi_thickness_um,epi_gamma1_thz,-0.046192003651214585
3,epi_thickness_um,epi_plasma2_thz,-0.027141817348215507
3,epi_thickness_um,epi_gamma2_thz,-0.06294946278376988
3,epi_thickness_um,oxide_thickness_um,-0.7757693350034001
3,epi_plasma1_thz,epi_thickness_um,0.04934249015127353
3,epi_plasma1_thz,epi_plasma1_thz,1.0
3,epi_plasma1_thz,epi_gamma1_thz,-0.9705741563144084
3,epi_plasma1_thz,epi_plasma2_thz,-0.9712615377189144
3,epi_plasma1_thz,epi_gamma2_thz,-0.8531414642570622
3,epi_plasma1_thz,oxide_thickness_um,0.006739096941557825
3,epi_gamma1_thz,epi_thickness_um,-0.046192003651214585
3,epi_gamma1_thz,epi_plasma1_thz,-0.9705741563144084
3,epi_gamma1_thz,epi_gamma1_thz,1.0
3,epi_gamma1_thz,epi_plasma2_thz,0.9865442489148318
3,epi_gamma1_thz,epi_gamma2_thz,0.9449605151081716
3,epi_gamma1_thz,oxide_thickness_um,0.024626168741025536
3,epi_plasma2_thz,epi_thickness_um,-0.027141817348215507
3,epi_plasma2_thz,epi_plasma1_thz,-0.9712615377189144
3,epi_plasma2_thz,epi_gamma1_thz,0.9865442489148318
3,epi_plasma2_thz,epi_plasma2_thz,1.0
3,epi_plasma2_thz,epi_gamma2_thz,0.8878430246457512
3,epi_plasma2_thz,oxide_thickness_um,0.07292061216003703
3,epi_gamma2_thz,epi_thickness_um,-0.06294946278376988
3,epi_gamma2_thz,epi_plasma1_thz,-0.8531414642570622
3,epi_gamma2_thz,epi_gamma1_thz,0.9449605151081716
3,epi_gamma2_thz,epi_plasma2_thz,0.8878430246457512
3,epi_gamma2_thz,epi_gamma2_thz,1.0
3,epi_gamma2_thz,oxide_thickness_um,-0.01249903405902027
3,oxide_thickness_um,epi_thickness_um,-0.7757693350034001
3,oxide_thickness_um,epi_plasma1_thz,0.006739096941557825
3,oxide_thickness_um,epi_gamma1_thz,0.024626168741025536
3,oxide_thickness_um,epi_plasma2_thz,0.07292061216003703
3,oxide_thickness_um,epi_gamma2_thz,-0.01249903405902027
3,oxide_thickness_um,oxide_thickness_um,1.0
4,epi_thickness_um,epi_thickness_um,1.0
4,epi_thickness_um,epi_plasma1_thz,0.19908241519425224
4,epi_thickness_um,epi_gamma1_thz,-0.190920920633693
4,epi_thickness_um,epi_plasma2_thz,-0.16634846123524005
4,epi_thickness_um,epi_gamma2_thz,-0.20498722191402421
4,epi_thickness_um,oxide_thickness_um,-0.7339351328641982
4,epi_plasma1_thz,epi_thickness_um,0.19908241519425224
4,epi_plasma1_thz,epi_plasma1_thz,1.0
4,epi_plasma1_thz,epi_gamma1_thz,-0.9976655029302425
4,epi_plasma1_thz,epi_plasma2_thz,-0.9703171275331992
4,epi_plasma1_thz,epi_gamma2_thz,-0.9566389285842911
4,epi_plasma1_thz,oxide_thickness_um,0.12978765180202279
4,epi_gamma1_thz,epi_thickness_um,-0.190920920633693
4,epi_gamma1_thz,epi_plasma1_thz,-0.9976655029302425
4,epi_gamma1_thz,epi_gamma1_thz,1.0
4,epi_gamma1_thz,epi_plasma2_thz,0.9772997268716361
4,epi_gamma1_thz,epi_gamma2_thz,0.9390947237587702
4,epi_gamma1_thz,oxide_thickness_um,-0.11350578425373863
4,epi_plasma2_thz,epi_thickness_um,-0.16634846123524005
4,epi_plasma2_thz,epi_plasma1_thz,-0.9703171275331992
4,epi_plasma2_thz,epi_gamma1_thz,0.9772997268716361
4,epi_plasma2_thz,epi_plasma2_thz,1.0
4,epi_plasma2_thz,epi_gamma2_thz,0.9351405135274867
4,epi_plasma2_thz,oxide_thickness_um,-0.034879380664091124
4,epi_gamma2_thz,epi_thickness_um,-0.20498722191402421
4,epi_gamma2_thz,epi_plasma1_thz,-0.9566389285842911
4,epi_gamma2_thz,epi_gamma1_thz,0.9390947237587702
4,epi_gamma2_thz,epi_plasma2_thz,0.9351405135274867
4,epi_gamma2_thz,epi_gamma2_thz,1.0
4,epi_gamma2_thz,oxide_thickness_um,-0.1215183066706347
4,oxide_thickness_um,epi_thickness_um,-0.7339351328641982
4,oxide_thickness_um,epi_plasma1_thz,0.12978765180202279
4,oxide_thickness_um,epi_gamma1_thz,-0.11350578425373863
4,oxide_thickness_um,epi_plasma2_thz,-0.034879380664091124
4,oxide_thickness_um,epi_gamma2_thz,-0.1215183066706347
4,oxide_thickness_um,oxide_thickness_um,1.0
5,epi_thickness_um,epi_thickness_um,1.0
5,epi_thickness_um,epi_plasma1_thz,0.18027562776815922
5,epi_thickness_um,epi_gamma1_thz,0.18148992012104267
5,epi_thickness_um,epi_plasma2_thz,-0.13804869878843387
5,epi_thickness_um,epi_gamma2_thz,-0.1867545611755287
5,epi_thickness_um,oxide_thickness_um,-0.7404665558628526
5,epi_plasma1_thz,epi_thickness_um,0.18027562776815922
5,epi_plasma1_thz,epi_plasma1_thz,1.0
5,epi_plasma1_thz,epi_gamma1_thz,0.981196281556588
5,epi_plasma1_thz,epi_plasma2_thz,-0.9533361732328953
5,epi_plasma1_thz,epi_gamma2_thz,-0.9444173157356642
5,epi_plasma1_thz,oxide_thickness_um,0.12669859507955478
5,epi_gamma1_thz,epi_thickness_um,0.18148992012104267
5,epi_gamma1_thz,epi_plasma1_thz,0.981196281556588
5,epi_gamma1_thz,epi_gamma1_thz,1.0
5,epi_gamma1_thz,epi_plasma2_thz,-0.9526749675800054
5,epi_gamma1_thz,epi_gamma2_thz,-0.9886171471247074
5,epi_gamma1_thz,oxide_thickness_um,0.1067443680466133
5,epi_plasma2_thz,epi_thickness_um,-0.13804869878843387
5,epi_plasma2_thz,epi_plasma1_thz,-0.9533361732328953
5,epi_plasma2_thz,epi_gamma1_thz,-0.9526749675800054
5,epi_plasma2_thz,epi_plasma2_thz,1.0
5,epi_plasma2_thz,epi_gamma2_thz,0.9086099699997803
5,epi_plasma2_thz,oxide_thickness_um,-0.00710761121768521
5,epi_gamma2_thz,epi_thickness_um,-0.1867545611755287
5,epi_gamma2_thz,epi_plasma1_thz,-0.9444173157356642
5,epi_gamma2_thz,epi_gamma1_thz,-0.9886171471247074
5,epi_gamma2_thz,epi_plasma2_thz,0.9086099699997803
5,epi_gamma2_thz,epi_gamma2_thz,1.0
5,epi_gamma2_thz,oxide_thickness_um,-0.11638909182559791
5,oxide_thickness_um,epi_thickness_um,-0.7404665558628526
5,oxide_thickness_um,epi_plasma1_thz,0.12669859507955478
5,oxide_thickness_um,epi_gamma1_thz,0.1067443680466133
5,oxide_thickness_um,epi_plasma2_thz,-0.00710761121768521
5,oxide_thickness_um,epi_gamma2_thz,-0.11638909182559791
5,oxide_thickness_um,oxide_thickness_um,1.0
6,epi_thickness_um,epi_thickness_um,1.0
6,epi_thickness_um,epi_plasma1_thz,0.18267612625201574
6,epi_thickness_um,epi_gamma1_thz,0.17594428839614776
6,epi_thickness_um,epi_plasma2_thz,-0.1420906292134108
6,epi_thickness_um,epi_gamma2_thz,-0.18906777981096579
6,epi_thickness_um,oxide_thickness_um,-0.7394659246729698
6,epi_plasma1_thz,epi_thickness_um,0.18267612625201574
6,epi_plasma1_thz,epi_plasma1_thz,1.0
6,epi_plasma1_thz,epi_gamma1_thz,0.944257700869587
6,epi_plasma1_thz,epi_plasma2_thz,-0.9566793995594554
6,epi_plasma1_thz,epi_gamma2_thz,-0.9455822650362207
6,epi_plasma1_thz,oxide_thickness_um,0.12859701079984287
6,epi_gamma1_thz,epi_thickness_um,0.17594428839614776
6,epi_gamma1_thz,epi_plasma1_thz,0.944257700869587
6,epi_gamma1_thz,epi_gamma1_thz,1.0
6,epi_gamma1_thz,epi_plasma2_thz,-0.940798551796554
6,epi_gamma1_thz,epi_gamma2_thz,-0.9944100195270124
6,epi_gamma1_thz,oxide_thickness_um,0.07870304836504795
6,epi_plasma2_thz,epi_thickness_um,-0.1420906292134108
6,epi_plasma2_thz,epi_plasma1_thz,-0.9566793995594554
6,epi_plasma2_thz,epi_gamma1_thz,-0.940798551796554
6,epi_plasma2_thz,epi_plasma2_thz,1.0
6,epi_plasma2_thz,epi_gamma2_thz,0.9119209778808928
6,epi_plasma2_thz,oxide_thickness_um,-0.01346106085740618
6,epi_gamma2_thz,epi_thickness_um,-0.18906777981096579
6,epi_gamma2_thz,epi_plasma1_thz,-0.9455822650362207
6,epi_gamma2_thz,epi_gamma1_thz,-0.9944100195270124
6,epi_gamma2_thz,epi_plasma2_thz,0.9119209778808928
6,epi_gamma2_thz,epi_gamma2_thz,1.0
6,epi_gamma2_thz,oxide_thickness_um,-0.11824156255004278
6,oxide_thickness_um,epi_thickness_um,-0.7394659246729698
6,oxide_thickness_um,epi_plasma1_thz,0.12859701079984287
6,oxide_thickness_um,epi_gamma1_thz,0.07870304836504795
6,oxide_thickness_um,epi_plasma2_thz,-0.01346106085740618
6,oxide_thickness_um,epi_gamma2_thz,-0.11824156255004278
6,oxide_thickness_um,oxide_thickness_um,1.0
7,epi_thickness_um,epi_thickness_um,1.0
7,epi_thickness_um,epi_plasma1_thz,0.17416469721349534
7,epi_thickness_um,epi_gamma1_thz,0.1714813697734839
7,epi_thickness_um,epi_plasma2_thz,-0.1273830568267991
7,epi_thickness_um,epi_gamma2_thz,-0.18055804270878215
7,epi_thickness_um,oxide_thickness_um,-0.7428845253735907
7,epi_plasma1_thz,epi_thickness_um,0.17416469721349534
7,epi_plasma1_thz,epi_plasma1_thz,1.0
7,epi_plasma1_thz,epi_gamma1_thz,0.9995706998144402
7,epi_plasma1_thz,epi_plasma2_thz,-0.9425397337779977
7,epi_plasma1_thz,epi_gamma2_thz,-0.9413694165341079
7,epi_plasma1_thz,oxide_thickness_um,0.12372855668881148
7,epi_gamma1_thz,epi_thickness_um,0.1714813697734839
7,epi_gamma1_thz,epi_plasma1_thz,0.9995706998144402
7,epi_gamma1_thz,epi_gamma1_thz,1.0
7,epi_gamma1_thz,epi_plasma2_thz,-0.944656286880614
7,epi_gamma1_thz,epi_gamma2_thz,-0.9317854595709647
7,epi_gamma1_thz,oxide_thickness_um,0.11987705804393195
7,epi_plasma2_thz,epi_thickness_um,-0.1273830568267991
7,epi_plasma2_thz,epi_plasma1_thz,-0.9425397337779977
7,epi_plasma2_thz,epi_gamma1_thz,-0.944656286880614
7,epi_plasma2_thz,epi_plasma2_thz,1.0
7,epi_plasma2_thz,epi_gamma2_thz,0.9007246151875413
7,epi_plasma2_thz,oxide_thickness_um,0.008978670285379402
7,epi_gamma2_thz,epi_thickness_um,-0.18055804270878215
7,epi_gamma2_thz,epi_plasma1_thz,-0.9413694165341079
7,epi_gamma2_thz,epi_gamma1_thz,-0.9317854595709647
7,epi_gamma2_thz,epi_plasma2_thz,0.9007246151875413
7,epi_gamma2_thz,epi_gamma2_thz,1.0
7,epi_gamma2_thz,oxide_thickness_um,-0.1127173271971541
7,oxide_thickness_um,epi_thickness_um,-0.7428845253735907
7,oxide_thickness_um,epi_plasma1_thz,0.12372855668881148
7,oxide_thickness_um,epi_gamma1_thz,0.11987705804393195
7,oxide_thickness_um,epi_plasma2_thz,0.008978670285379402
7,oxide_thickness_um,epi_gamma2_thz,-0.1127173271971541
7,oxide_thickness_um,oxide_thickness_um,1.0
8,epi_thickness_um,epi_thickness_um,1.0
8,epi_thickness_um,epi_plasma1_thz,0.16692409788343376
8,epi_thickness_um,epi_gamma1_thz,0.1668153198850981
8,epi_thickness_um,epi_plasma2_thz,-0.11461391453590901
8,epi_thickness_um,epi_gamma2_thz,-0.1742758161144237
8,epi_thickness_um,oxide_thickness_um,-0.7444669555277347
8,epi_plasma1_thz,epi_thickness_um,0.16692409788343376
8,epi_plasma1_thz,epi_plasma1_thz,1.0
8,epi_plasma1_thz,epi_gamma1_thz,0.9641755390723029
8,epi_plasma1_thz,epi_plasma2_thz,-0.9339841605612057
8,epi_plasma1_thz,epi_gamma2_thz,-0.9303034414987418
8,epi_plasma1_thz,oxide_thickness_um,0.12638612492427184
8,epi_gamma1_thz,epi_thickness_um,0.1668153198850981
8,epi_gamma1_thz,epi_plasma1_thz,0.9641755390723029
8,epi_gamma1_thz,epi_gamma1_thz,1.0
8,epi_gamma1_thz,epi_plasma2_thz,-0.9251486120885771
8,epi_gamma1_thz,epi_gamma2_thz,-0.9914033735181154
8,epi_gamma1_thz,oxide_thickness_um,0.09549546046284257
8,epi_plasma2_thz,epi_thickness_um,-0.11461391453590901
8,epi_plasma2_thz,epi_plasma1_thz,-0.9339841605612057
8,epi_plasma2_thz,epi_gamma1_thz,-0.9251486120885771
8,epi_plasma2_thz,epi_plasma2_thz,1.0
8,epi_plasma2_thz,epi_gamma2_thz,0.8714241898555442
8,epi_plasma2_thz,oxide_thickness_um,0.016446803944754448
8,epi_gamma2_thz,epi_thickness_um,-0.1742758161144237
8,epi_gamma2_thz,epi_plasma1_thz,-0.9303034414987418
8,epi_gamma2_thz,epi_gamma1_thz,-0.9914033735181154
8,epi_gamma2_thz,epi_plasma2_thz,0.8714241898555442
8,epi_gamma2_thz,epi_gamma2_thz,1.0
8,epi_gamma2_thz,oxide_thickness_um,-0.1142973896024146
8,oxide_thickness_um,epi_thickness_um,-0.7444669555277347
8,oxide_thickness_um,epi_plasma1_thz,0.12638612492427184
8,oxide_thickness_um,epi_gamma1_thz,0.09549546046284257
8,oxide_thickness_um,epi_plasma2_thz,0.016446803944754448
8,oxide_thickness_um,epi_gamma2_thz,-0.1142973896024146
8,oxide_thickness_um,oxide_thickness_um,1.0
9,epi_thickness_um,epi_thickness_um,1.0
9,epi_thickness_um,epi_plasma1_thz,0.1379713170877072
9,epi_thickness_um,epi_gamma1_thz,0.13387430545587556
9,epi_thickness_um,epi_plasma2_thz,-0.035512972032126944
9,epi_thickness_um,epi_gamma2_thz,-0.1467075460681392
9,epi_thickness_um,oxide_thickness_um,-0.7527219916534089
9,epi_plasma1_thz,epi_thickness_um,0.1379713170877072
9,epi_plasma1_thz,epi_plasma1_thz,1.0
9,epi_plasma1_thz,epi_gamma1_thz,0.9648911964353898
9,epi_plasma1_thz,epi_plasma2_thz,-0.7904363540649441
9,epi_plasma1_thz,epi_gamma2_thz,-0.8801722849854489
9,epi_plasma1_thz,oxide_thickness_um,0.1303040224063989
9,epi_gamma1_thz,epi_thickness_um,0.13387430545587556
9,epi_gamma1_thz,epi_plasma1_thz,0.9648911964353898
9,epi_gamma1_thz,epi_gamma1_thz,1.0
9,epi_gamma1_thz,epi_plasma2_thz,-0.8137352774745147
9,epi_gamma1_thz,epi_gamma2_thz,-0.9636997683952999
9,epi_gamma1_thz,oxide_thickness_um,0.0843046930801342
9,epi_plasma2_thz,epi_thickness_um,-0.035512972032126944
9,epi_plasma2_thz,epi_plasma1_thz,-0.7904363540649441
9,epi_plasma2_thz,epi_gamma1_thz,-0.8137352774745147
9,epi_plasma2_thz,epi_plasma2_thz,1.0
9,epi_plasma2_thz,epi_gamma2_thz,0.6709719195972164
9,epi_plasma2_thz,oxide_thickness_um,0.12408564334713675
9,epi_gamma2_thz,epi_thickness_um,-0.1467075460681392
9,epi_gamma2_thz,epi_plasma1_thz,-0.8801722849854489
9,epi_gamma2_thz,epi_gamma1_thz,-0.9636997683952999
9,epi_gamma2_thz,epi_plasma2_thz,0.6709719195972164
9,epi_gamma2_thz,epi_gamma2_thz,1.0
9,epi_gamma2_thz,oxide_thickness_um,-0.1096792551406736
9,oxide_thickness_um,epi_thickness_um,-0.7527219916534089
9,oxide_thickness_um,epi_plasma1_thz,0.1303040224063989
9,oxide_thickness_um,epi_gamma1_thz,0.0843046930801342
9,oxide_thickness_um,epi_plasma2_thz,0.12408564334713675
9,oxide_thickness_um,epi_gamma2_thz,-0.1096792551406736
9,oxide_thickness_um,oxide_thickness_um,1.0
10,epi_thickness_um,epi_thickness_um,1.0
10,epi_thickness_um,epi_plasma1_thz,0.20611756234277104
10,epi_thickness_um,epi_gamma1_thz,-0.20536206926693423
10,epi_thickness_um,epi_plasma2_thz,-0.1760859890210576
10,epi_thickness_um,epi_gamma2_thz,-0.21159190096117256
10,epi_thickness_um,oxide_thickness_um,-0.7314946930865193
10,epi_plasma1_thz,epi_thickness_um,0.20611756234277104
10,epi_plasma1_thz,epi_plasma1_thz,1.0
10,epi_plasma1_thz,epi_gamma1_thz,-0.99600778299447
10,epi_plasma1_thz,epi_plasma2_thz,-0.9739898632988025
10,epi_plasma1_thz,epi_gamma2_thz,-0.9608727951034856
10,epi_plasma1_thz,oxide_thickness_um,0.13113480547773465
10,epi_gamma1_thz,epi_thickness_um,-0.20536206926693423
10,epi_gamma1_thz,epi_plasma1_thz,-0.99600778299447
10,epi_gamma1_thz,epi_gamma1_thz,1.0
10,epi_gamma1_thz,epi_plasma2_thz,0.980199164940843
10,epi_gamma1_thz,epi_gamma2_thz,0.97988613709264
10,epi_gamma1_thz,oxide_thickness_um,-0.11689291368938746
10,epi_plasma2_thz,epi_thickness_um,-0.1760859890210576
10,epi_plasma2_thz,epi_plasma1_thz,-0.9739898632988025
10,epi_plasma2_thz,epi_gamma1_thz,0.980199164940843
10,epi_plasma2_thz,epi_plasma2_thz,1.0
10,epi_plasma2_thz,epi_gamma2_thz,0.9440543454350407
10,epi_plasma2_thz,oxide_thickness_um,-0.042622182252925835
10,epi_gamma2_thz,epi_thickness_um,-0.21159190096117256
10,epi_gamma2_thz,epi_plasma1_thz,-0.9608727951034856
10,epi_gamma2_thz,epi_gamma1_thz,0.97988613709264
10,epi_gamma2_thz,epi_plasma2_thz,0.9440543454350407
10,epi_gamma2_thz,epi_gamma2_thz,1.0
10,epi_gamma2_thz,oxide_thickness_um,-0.12317341364073658
10,oxide_thickness_um,epi_thickness_um,-0.7314946930865193
10,oxide_thickness_um,epi_plasma1_thz,0.13113480547773465
10,oxide_thickness_um,epi_gamma1_thz,-0.11689291368938746
10,oxide_thickness_um,epi_plasma2_thz,-0.042622182252925835
10,oxide_thickness_um,epi_gamma2_thz,-0.12317341364073658
10,oxide_thickness_um,oxide_thickness_um,1.0
11,epi_thickness_um,epi_thickness_um,1.0
11,epi_thickness_um,epi_plasma1_thz,0.06807356090817569
11,epi_thickness_um,epi_gamma1_thz,0.09311000809155061
11,epi_thickness_um,epi_plasma2_thz,0.15246172163896904
11,epi_thickness_um,epi_gamma2_thz,-0.09683742311041565
11,epi_thickness_um,oxide_thickness_um,-0.7668345714834599
11,epi_plasma1_thz,epi_thickness_um,0.06807356090817569
