case_id,tau1_ps,sigma1_s_per_m,measurement_mode,measurement_angle_deg,measurement_polarization,noise_dynamic_range_db,weighted_data_fit,data_fit,relative_l2,residual_rms,fit_sigma,max_abs_residual,max_abs_parameter_correlation,mean_abs_parameter_correlation,recovery_error,true_epi_thickness_um,true_oxide_thickness_um,true_substrate_thickness_um,true_eps_inf,true_tau1_ps,true_sigma1_s_per_m,true_tau2_ps,true_sigma2_s_per_m,fit_epi_thickness_um,fit_oxide_thickness_um,fit_substrate_thickness_um,fit_eps_inf,fit_tau1_ps,fit_sigma1_s_per_m,fit_tau2_ps,fit_sigma2_s_per_m,fit_plasma_freq1_thz,fit_gamma1_thz,fit_plasma_freq2_thz,fit_gamma2_thz,signed_err_epi_thickness_um,abs_err_epi_thickness_um,signed_err_eps_inf,abs_err_eps_inf,signed_err_oxide_thickness_um,abs_err_oxide_thickness_um,signed_err_sigma1_s_per_m,abs_err_sigma1_s_per_m,signed_err_sigma2_s_per_m,abs_err_sigma2_s_per_m,signed_err_substrate_thickness_um,abs_err_substrate_thickness_um,signed_err_tau1_ps,abs_err_tau1_ps,signed_err_tau2_ps,abs_err_tau2_ps,noise_sigma,noise_seed,clean_peak_abs,noise_rms,observed_snr_db,optimizer_stage,initial_objective_value,final_objective_value,objective_improvement_fraction,stuck_to_initial,initial_tau1_ps,fit_minus_initial_tau1_ps,stuck_to_initial_tau1_ps,initial_sigma1_s_per_m,fit_minus_initial_sigma1_s_per_m,stuck_to_initial_sigma1_s_per_m
0,0.1,10.0,reflection,60.0,s,110.0,0.004640506506087401,0.029665521485055368,0.17223681802987237,0.019461371331375883,0.04616874261091103,0.03612960647126959,0.9995416389874197,0.541876988925441,0.40249415183170784,70.0,10.0,725.0,11.7,0.1,10.0,0.8154753215150046,707.1067811865476,70.00000000001812,10.000000000005462,725.0,11.7,0.1870828514120757,31.622820140025294,0.8154746795122761,707.1065973430148,0.6953910156905792,0.8507190364622715,1.575008750321964,0.19516846701737406,-1.8118839761882555e-11,1.8118839761882555e-11,0.0,0.0,-5.46229728115577e-12,5.46229728115577e-12,-21.622820140025294,21.622820140025294,0.00018384353279543575,0.00018384353279543575,0.0,0.0,-0.0870828514120757,0.0870828514120757,6.420027284237406e-07,6.420027284237406e-07,3.097371223346277e-06,1000.0,0.9794747824836334,2.9697361005702427e-06,91.60658819292772,local,0.06799318138691328,0.004640506506087401,0.931750413623379,True,0.18708286933869706,-1.792662135402523e-08,True,31.622776601683796,4.353834149739555e-05,True
1,0.11041666666666668,10.0,reflection,60.0,s,110.0,0.00030033468742874254,0.0021108464999876333,0.04594394954711266,0.005263735918357387,0.046571812349824625,0.018085749715520294,0.9945836120887459,0.4905381023611264,0.3888728350453861,70.0,10.0,725.0,11.7,0.11041666666666668,10.0,0.8154753215150046,707.1067811865476,70.0,10.0,725.0,11.7,0.18708276271422652,31.62303556077944,0.8154715030059031,707.1056877219195,0.6953935491019861,0.8507194397968583,1.575010804837988,0.19516922725715805,0.0,0.0,0.0,0.0,0.0,0.0,-21.62303556077944,21.62303556077944,0.001093464628070251,0.001093464628070251,0.0,0.0,-0.07666609604755985,0.07666609604755985,3.8185091014719674e-06,3.8185091014719674e-06,3.03784536556781e-06,1001.0,0.9606510534581127,3.022755229529073e-06,91.5732735681766,local,0.11448027348926645,0.00030033468742874254,0.9973765376490221,True,0.18708286933869706,-1.0662447053055857e-07,True,31.622776601683796,0.0002589590956425525,True
2,0.12083333333333333,10.0,reflection,60.0,s,110.0,0.00030820915862742087,0.0021620491034583422,0.046497839771954375,0.005328683862293232,0.047132909595366264,0.01833269118017043,0.9726940521452914,0.4976045757324913,0.3781823423077159,70.0,10.0,725.0,11.7,0.12083333333333333,10.0,0.8154753215150046,707.1067811865476,70.0,10.0,725.0,11.7,0.1870828287973585,31.62290907959162,0.8154709311401627,707.1042645540294,0.695392035617497,0.8507191392978474,1.575009772105179,0.19516936412358749,0.0,0.0,0.0,0.0,0.0,0.0,-21.62290907959162,21.62290907959162,0.0025166325181089633,0.0025166325181089633,0.0,0.0,-0.06624949546402516,0.06624949546402516,4.390374841900524e-06,4.390374841900524e-06,3.0376542760944114e-06,1002.0,0.9605906256608306,2.9944684315567486e-06,91.65734107178983,local,0.11455465339813445,0.00030820915862742087,0.9973095011901766,True,0.18708286933869706,-4.0541338564015206e-08,True,31.622776601683796,0.00013247790782244806,True
3,0.13125,10.0,reflection,60.0,s,110.0,0.0003639065130068017,0.001587937477679598,0.039848933206292965,0.0054073249573073105,0.04781527675182714,0.018640549006098753,0.9865442489148318,0.44616699785324354,0.36992965207772377,70.0,10.0,725.0,11.7,0.13125,10.0,0.8154753215150046,707.1067811865476,70.0,10.0,725.0,11.7,0.18708286933869706,31.622776601683796,0.8154753215150046,707.1067811865477,0.6953905036659745,0.8507189549448236,1.5750083350863051,0.19516831336626406,0.0,0.0,0.0,0.0,0.0,0.0,-21.622776601683796,21.622776601683796,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,-0.05583286933869705,0.05583286933869705,0.0,0.0,3.3339499789060692e-06,1003.0,1.05428755384135,3.2674353980749587e-06,92.3671774302084,initial,0.0003639065130068017,0.0003639065130068017,0.0,True,0.18708286933869706,0.0,True,31.622776601683796,0.0,True
4,0.14166666666666666,10.0,reflection,60.0,s,110.0,0.0026064468014468604,0.013536968249290644,0.11634847764062338,0.01365401574461507,0.04858019927884597,0.030810383175721337,0.9976655029302425,0.5114081198958348,0.3637208520304331,70.0,10.0,725.0,11.7,0.14166666666666666,10.0,0.8154753215150046,707.1067811865476,70.0,10.0,725.0,11.7,0.18708283256761596,31.62286590755555,0.8154740046401316,707.1064040871206,0.6953915539308165,0.8507191221534084,1.5750091868176668,0.1951686285354128,0.0,0.0,0.0,0.0,0.0,0.0,-21.62286590755555,21.62286590755555,0.00037709942694164056,0.00037709942694164056,0.0,0.0,-0.045416165900949296,0.045416165900949296,1.316874872925311e-06,1.316874872925311e-06,2.9978505881494624e-06,1004.0,0.9480035943427682,3.0004160155099857e-06,91.84637133057068,local,0.1571202409043441,0.0026064468014468604,0.9834111328594914,True,0.18708286933869706,-3.677108109667593e-08,True,31.622776601683796,8.930587175370874e-05,True
5,0.15208333333333335,10.0,reflection,60.0,s,110.0,0.00042285038658162013,0.0014466821200604292,0.03803527468101722,0.005588769734919803,0.049394178198252474,0.019320927674454952,0.9886171471247074,0.5008551256743405,0.35922933772400756,70.0,10.0,725.0,11.7,0.15208333333333335,10.0,0.8154753215150046,707.1067811865476,70.0,10.0,725.0,11.7,0.18708286933869864,31.62277660168342,0.815475321515006,707.106781186534,0.6953905036659674,0.8507189549448164,1.575008335086289,0.1951683133662637,0.0,0.0,0.0,0.0,0.0,0.0,-21.62277660168342,21.62277660168342,1.3528733688872308e-11,1.3528733688872308e-11,0.0,0.0,-0.03499953600536529,0.03499953600536529,-1.4432899320127035e-15,1.4432899320127035e-15,3.393019004367952e-06,1005.0,1.072966819803953,3.396996935899487e-06,92.72068786501472,local,0.004838872310757609,0.00042285038658162013,0.9126138572324891,True,0.18708286933869706,1.582067810090848e-15,True,31.622776601683796,-3.765876499528531e-13,True
6,0.1625,10.0,reflection,60.0,s,110.0,0.0010212347864604512,0.003305520101275232,0.05749365270423539,0.008449104407208828,0.050238731092342274,0.025208520394575856,0.9944100195270124,0.4974597563725048,0.3561903056503393,70.0,10.0,725.0,11.7,0.1625,10.0,0.8154753215150046,707.1067811865476,70.0,10.0,725.0,11.7,0.18708287100278645,31.622776196256815,0.8154753231615042,707.1067671924819,0.695390496115543,0.8507189473777365,1.5750083179111032,0.19516831297220608,0.0,0.0,0.0,0.0,0.0,0.0,-21.622776196256815,21.622776196256815,1.3994065625411167e-05,1.3994065625411167e-05,0.0,0.0,-0.024582871002786444,0.024582871002786444,-1.646499603324969e-09,1.646499603324969e-09,3.3929423228907514e-06,1006.0,1.072942570991723,3.3640423865082326e-06,92.80658624051723,local,0.004852043498893777,0.0010212347864604512,0.7895248081157386,True,0.18708286933869706,1.664089394060042e-09,True,31.622776601683796,-4.054269808762001e-07,True
7,0.17291666666666666,10.0,reflection,60.0,s,110.0,0.00041714890908879583,0.002093664014497829,0.04575657345669395,0.005783755702787661,0.051093947179343624,0.02001746164118515,0.9995706998144402,0.49482796772513965,0.35437947501866157,70.0,10.0,725.0,11.7,0.17291666666666666,10.0,0.8154753215150046,707.1067811865476,70.00000000000082,9.999999999999904,725.0,11.7,0.18708289543303164,31.62278928905283,0.8154753917525274,707.1068642580349,0.6953905946681477,0.8507188362864877,1.5750083597745956,0.19516829655626708,-8.242295734817162e-13,8.242295734817162e-13,0.0,0.0,9.592326932761353e-14,9.592326932761353e-14,-21.62278928905283,21.62278928905283,-8.307148732455971e-05,8.307148732455971e-05,0.0,0.0,-0.014166228766364974,0.014166228766364974,-7.023752279788908e-08,7.023752279788908e-08,2.918563728599407e-06,1007.0,0.9229308878727633,2.8936612644225653e-06,92.80617267327682,local,0.2767302186625663,0.00041714890908879583,0.9984925791223493,True,0.18708286933869706,2.6094334582005274e-08,True,31.622776601683796,1.268736903270451e-05,True
8,0.18333333333333335,10.0,reflection,60.0,s,110.0,0.0011691256160917057,0.002451615038384881,0.04951378634668208,0.008582335209839994,0.0519497292149129,0.025827858719076793,0.9914033735181154,0.489077413298358,0.35360803800405927,70.0,10.0,725.0,11.7,0.18333333333333335,10.0,0.8154753215150046,707.1067811865476,70.0,10.0,725.0,11.7,0.1870828755445072,31.622775089744085,0.8154753276552178,707.10672899914,0.695390475508507,0.8507189267252429,1.575008271035636,0.19516831189672226,0.0,0.0,0.0,0.0,0.0,0.0,-21.622775089744085,21.622775089744085,5.218740750478901e-05,5.218740750478901e-05,0.0,0.0,-0.0037495422111738508,0.0037495422111738508,-6.140213226757396e-09,6.140213226757396e-09,3.511418271880304e-06,1008.0,1.110407955667414,3.505350010614464e-06,93.88296954806016,local,0.04658659344422723,0.0011691256160917057,0.974904247560162,True,0.18708286933869706,6.20581014354471e-09,True,31.622776601683796,-1.511939711207333e-06,True
9,0.19375,10.0,reflection,60.0,s,110.0,0.0008931341703058675,0.005677209001708247,0.07534725609939784,0.008648756394005511,0.05279320834750093,0.02611416206985198,0.9648911964353898,0.44927123648162764,0.3537192500988282,70.0,10.0,725.0,11.7,0.19375,10.0,0.8154753215150046,707.1067811865476,70.0,10.0,725.0,11.7,0.18708276935558005,31.62301943087355,0.8154754138625764,707.1089407459792,0.6953933594098092,0.8507194095967038,1.5750106510036694,0.1951682912646537,0.0,0.0,0.0,0.0,0.0,0.0,-21.62301943087355,21.62301943087355,-0.0021595594316750066,0.0021595594316750066,0.0,0.0,0.006667230644419958,0.006667230644419958,-9.234757181175723e-08,9.234757181175723e-08,3.1556461641712087e-06,1009.0,0.997902936835465,3.0477760790481517e-06,91.51806184661199,local,0.03735276922573063,0.0008931341703058675,0.976089211353823,True,0.18708286933869706,-9.998311700787355e-08,True,31.622776601683796,0.000242829189755156,True
