param_i,param_j,correlation
epi_gamma1_thz,epi_gamma1_thz,1.0
epi_gamma1_thz,epi_gamma2_thz,0.8256970277625927
epi_gamma1_thz,epi_plasma1_thz,-0.5000108540036919
epi_gamma1_thz,epi_plasma2_thz,0.9220167606951774
epi_gamma1_thz,epi_thickness_um,-0.3061138369776234
epi_gamma1_thz,oxide_thickness_um,0.09599532249617203
epi_gamma2_thz,epi_gamma1_thz,0.8256970277625927
epi_gamma2_thz,epi_gamma2_thz,1.0
epi_gamma2_thz,epi_plasma1_thz,-0.8168982348921111
epi_gamma2_thz,epi_plasma2_thz,0.9578214677005576
epi_gamma2_thz,epi_thickness_um,-0.28535627671937946
epi_gamma2_thz,oxide_thickness_um,0.12859593211164422
epi_plasma1_thz,epi_gamma1_thz,-0.5000108540036919
epi_plasma1_thz,epi_gamma2_thz,-0.8168982348921111
epi_plasma1_thz,epi_plasma1_thz,1.0
epi_plasma1_thz,epi_plasma2_thz,-0.8051502364540671
epi_plasma1_thz,epi_thickness_um,0.23587990206357395
epi_plasma1_thz,oxide_thickness_um,-0.13275832928707132
epi_plasma2_thz,epi_gamma1_thz,0.9220167606951774
epi_plasma2_thz,epi_gamma2_thz,0.9578214677005576
epi_plasma2_thz,epi_plasma1_thz,-0.8051502364540671
epi_plasma2_thz,epi_plasma2_thz,1.0
epi_plasma2_thz,epi_thickness_um,-0.31511079723076774
epi_plasma2_thz,oxide_thickness_um,0.13689133155506444
epi_thickness_um,epi_gamma1_thz,-0.3061138369776234
epi_thickness_um,epi_gamma2_thz,-0.28535627671937946
epi_thickness_um,epi_plasma1_thz,0.23587990206357395
epi_thickness_um,epi_plasma2_thz,-0.31511079723076774
epi_thickness_um,epi_thickness_um,1.0
epi_thickness_um,oxide_thickness_um,-0.911324444657635
oxide_thickness_um,epi_gamma1_thz,0.09599532249617203
oxide_thickness_um,epi_gamma2_thz,0.12859593211164422
oxide_thickness_um,epi_plasma1_thz,-0.13275832928707132
oxide_thickness_um,epi_plasma2_thz,0.13689133155506444
oxide_thickness_um,epi_thickness_um,-0.911324444657635
oxide_thickness_um,oxide_thickness_um,1.0
