case_id,param_i,param_j,correlation
0,epi_thickness_um,epi_thickness_um,1.0
0,epi_thickness_um,epi_plasma1_thz,0.3251817051309736
0,epi_thickness_um,epi_gamma1_thz,-0.2995455952628233
0,epi_thickness_um,epi_plasma2_thz,-0.31824642530125374
0,epi_thickness_um,epi_gamma2_thz,-0.2907211589304896
0,epi_thickness_um,oxide_thickness_um,-0.9145712914030781
0,epi_plasma1_thz,epi_thickness_um,0.3251817051309736
0,epi_plasma1_thz,epi_plasma1_thz,1.0
0,epi_plasma1_thz,epi_gamma1_thz,-0.561365088212084
0,epi_plasma1_thz,epi_plasma2_thz,-0.8095733558066139
0,epi_plasma1_thz,epi_gamma2_thz,-0.8290731868855059
0,epi_plasma1_thz,oxide_thickness_um,-0.16604629891640674
0,epi_gamma1_thz,epi_thickness_um,-0.2995455952628233
0,epi_gamma1_thz,epi_plasma1_thz,-0.561365088212084
0,epi_gamma1_thz,epi_gamma1_thz,1.0
0,epi_gamma1_thz,epi_plasma2_thz,0.918894604950131
0,epi_gamma1_thz,epi_gamma2_thz,0.8199885231267071
0,epi_gamma1_thz,oxide_thickness_um,0.10150276328277306
0,epi_plasma2_thz,epi_thickness_um,-0.31824642530125374
0,epi_plasma2_thz,epi_plasma1_thz,-0.8095733558066139
0,epi_plasma2_thz,epi_gamma1_thz,0.918894604950131
0,epi_plasma2_thz,epi_plasma2_thz,1.0
0,epi_plasma2_thz,epi_gamma2_thz,0.9560388460409547
0,epi_plasma2_thz,oxide_thickness_um,0.14480047653728031
0,epi_gamma2_thz,epi_thickness_um,-0.2907211589304896
0,epi_gamma2_thz,epi_plasma1_thz,-0.8290731868855059
0,epi_gamma2_thz,epi_gamma1_thz,0.8199885231267071
0,epi_gamma2_thz,epi_plasma2_thz,0.9560388460409547
0,epi_gamma2_thz,epi_gamma2_thz,1.0
0,epi_gamma2_thz,oxide_thickness_um,0.13697235921764955
0,oxide_thickness_um,epi_thickness_um,-0.9145712914030781
0,oxide_thickness_um,epi_plasma1_thz,-0.16604629891640674
0,oxide_thickness_um,epi_gamma1_thz,0.10150276328277306
0,oxide_thickness_um,epi_plasma2_thz,0.14480047653728031
0,oxide_thickness_um,epi_gamma2_thz,0.13697235921764955
0,oxide_thickness_um,oxide_thickness_um,1.0
1,epi_thickness_um,epi_thickness_um,1.0
1,epi_thickness_um,epi_plasma1_thz,0.3276509470754553
1,epi_thickness_um,epi_gamma1_thz,-0.3020974724659387
1,epi_thickness_um,epi_plasma2_thz,-0.32024729288914217
1,epi_thickness_um,epi_gamma2_thz,-0.2925716183285616
1,epi_thickness_um,oxide_thickness_um,-0.9144660863444363
1,epi_plasma1_thz,epi_thickness_um,0.3276509470754553
1,epi_plasma1_thz,epi_plasma1_thz,1.0
1,epi_plasma1_thz,epi_gamma1_thz,-0.5744112922256069
1,epi_plasma1_thz,epi_plasma2_thz,-0.8174159867197296
1,epi_plasma1_thz,epi_gamma2_thz,-0.8360153519955994
1,epi_plasma1_thz,oxide_thickness_um,-0.16720468377160755
1,epi_gamma1_thz,epi_thickness_um,-0.3020974724659387
1,epi_gamma1_thz,epi_plasma1_thz,-0.5744112922256069
1,epi_gamma1_thz,epi_gamma1_thz,1.0
1,epi_gamma1_thz,epi_plasma2_thz,0.9201919940643585
1,epi_gamma1_thz,epi_gamma2_thz,0.8222514360781024
1,epi_gamma1_thz,oxide_thickness_um,0.10338024087189986
1,epi_plasma2_thz,epi_thickness_um,-0.32024729288914217
1,epi_plasma2_thz,epi_plasma1_thz,-0.8174159867197296
1,epi_plasma2_thz,epi_gamma1_thz,0.9201919940643585
1,epi_plasma2_thz,epi_plasma2_thz,1.0
1,epi_plasma2_thz,epi_gamma2_thz,0.9567379197127077
1,epi_plasma2_thz,oxide_thickness_um,0.14612794317696182
1,epi_gamma2_thz,epi_thickness_um,-0.2925716183285616
1,epi_gamma2_thz,epi_plasma1_thz,-0.8360153519955994
1,epi_gamma2_thz,epi_gamma1_thz,0.8222514360781024
1,epi_gamma2_thz,epi_plasma2_thz,0.9567379197127077
1,epi_gamma2_thz,epi_gamma2_thz,1.0
1,epi_gamma2_thz,oxide_thickness_um,0.13819244627996516
1,oxide_thickness_um,epi_thickness_um,-0.9144660863444363
1,oxide_thickness_um,epi_plasma1_thz,-0.16720468377160755
1,oxide_thickness_um,epi_gamma1_thz,0.10338024087189986
1,oxide_thickness_um,epi_plasma2_thz,0.14612794317696182
1,oxide_thickness_um,epi_gamma2_thz,0.13819244627996516
1,oxide_thickness_um,oxide_thickness_um,1.0
2,epi_thickness_um,epi_thickness_um,1.0
2,epi_thickness_um,epi_plasma1_thz,0.32777085717734183
2,epi_thickness_um,epi_gamma1_thz,-0.3022292469231156
2,epi_thickness_um,epi_plasma2_thz,-0.32034989320565604
2,epi_thickness_um,epi_gamma2_thz,-0.2926657705648677
2,epi_thickness_um,oxide_thickness_um,-0.9144603719740018
2,epi_plasma1_thz,epi_thickness_um,0.32777085717734183
2,epi_plasma1_thz,epi_plasma1_thz,1.0
2,epi_plasma1_thz,epi_gamma1_thz,-0.5750363984887236
2,epi_plasma1_thz,epi_plasma2_thz,-0.8177890647755834
2,epi_plasma1_thz,epi_gamma2_thz,-0.8363459599844891
2,epi_plasma1_thz,oxide_thickness_um,-0.16726176548158245
2,epi_gamma1_thz,epi_thickness_um,-0.3022292469231156
2,epi_gamma1_thz,epi_plasma1_thz,-0.5750363984887236
2,epi_gamma1_thz,epi_gamma1_thz,1.0
2,epi_gamma1_thz,epi_plasma2_thz,0.9202551913237458
2,epi_gamma1_thz,epi_gamma2_thz,0.8223617244375601
2,epi_gamma1_thz,oxide_thickness_um,0.10347612498501078
2,epi_plasma2_thz,epi_thickness_um,-0.32034989320565604
2,epi_plasma2_thz,epi_plasma1_thz,-0.8177890647755834
2,epi_plasma2_thz,epi_gamma1_thz,0.9202551913237458
2,epi_plasma2_thz,epi_plasma2_thz,1.0
2,epi_plasma2_thz,epi_gamma2_thz,0.9567716645195307
2,epi_plasma2_thz,oxide_thickness_um,0.14619564811204938
2,epi_gamma2_thz,epi_thickness_um,-0.2926657705648677
2,epi_gamma2_thz,epi_plasma1_thz,-0.8363459599844891
2,epi_gamma2_thz,epi_gamma1_thz,0.8223617244375601
2,epi_gamma2_thz,epi_plasma2_thz,0.9567716645195307
2,epi_gamma2_thz,epi_gamma2_thz,1.0
2,epi_gamma2_thz,oxide_thickness_um,0.13825391927514796
2,oxide_thickness_um,epi_thickness_um,-0.9144603719740018
2,oxide_thickness_um,epi_plasma1_thz,-0.16726176548158245
2,oxide_thickness_um,epi_gamma1_thz,0.10347612498501078
2,oxide_thickness_um,epi_plasma2_thz,0.14619564811204938
2,oxide_thickness_um,epi_gamma2_thz,0.13825391927514796
2,oxide_thickness_um,oxide_thickness_um,1.0
3,epi_thickness_um,epi_thickness_um,1.0
3,epi_thickness_um,epi_plasma1_thz,0.3275616160592565
3,epi_thickness_um,epi_gamma1_thz,-0.3020097905819134
3,epi_thickness_um,epi_plasma2_thz,-0.32017820273747766
3,epi_thickness_um,epi_gamma2_thz,-0.2925072360934884
3,epi_thickness_um,oxide_thickness_um,-0.9144694939575667
3,epi_plasma1_thz,epi_thickness_um,0.3275616160592565
3,epi_plasma1_thz,epi_plasma1_thz,1.0
3,epi_plasma1_thz,epi_gamma1_thz,-0.57393532854801
3,epi_plasma1_thz,epi_plasma2_thz,-0.8171304512368408
3,epi_plasma1_thz,epi_gamma2_thz,-0.8357632834585206
3,epi_plasma1_thz,oxide_thickness_um,-0.1671633004467476
3,epi_gamma1_thz,epi_thickness_um,-0.3020097905819134
