case_id,tau2_ps,sigma2_s_per_m,measurement_mode,measurement_angle_deg,measurement_polarization,noise_dynamic_range_db,weighted_data_fit,data_fit,relative_l2,residual_rms,fit_sigma,max_abs_residual,max_abs_parameter_correlation,mean_abs_parameter_correlation,recovery_error,true_epi_thickness_um,true_oxide_thickness_um,true_substrate_thickness_um,true_eps_inf,true_tau1_ps,true_sigma1_s_per_m,true_tau2_ps,true_sigma2_s_per_m,fit_epi_thickness_um,fit_oxide_thickness_um,fit_substrate_thickness_um,fit_eps_inf,fit_tau1_ps,fit_sigma1_s_per_m,fit_tau2_ps,fit_sigma2_s_per_m,fit_plasma_freq1_thz,fit_gamma1_thz,fit_plasma_freq2_thz,fit_gamma2_thz,signed_err_epi_thickness_um,abs_err_epi_thickness_um,signed_err_eps_inf,abs_err_eps_inf,signed_err_oxide_thickness_um,abs_err_oxide_thickness_um,signed_err_sigma1_s_per_m,abs_err_sigma1_s_per_m,signed_err_sigma2_s_per_m,abs_err_sigma2_s_per_m,signed_err_substrate_thickness_um,abs_err_substrate_thickness_um,signed_err_tau1_ps,abs_err_tau1_ps,signed_err_tau2_ps,abs_err_tau2_ps,noise_sigma,noise_seed,clean_peak_abs,noise_rms,observed_snr_db,optimizer_stage,initial_objective_value,final_objective_value,objective_improvement_fraction,stuck_to_initial,initial_tau2_ps,fit_minus_initial_tau2_ps,stuck_to_initial_tau2_ps,initial_sigma2_s_per_m,fit_minus_initial_sigma2_s_per_m,stuck_to_initial_sigma2_s_per_m
0,0.7,500.0,transmission,45.0,s,110.0,5.710113756526174e-11,7.716904326634953e-10,2.777931663420638e-05,1.0681919387408844e-06,2.815083888485824e-05,4.2269084642217875e-06,0.9838970267101583,0.4951678308075985,1.6358775045364305e-05,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.7,500.0,70.00006236539463,9.999972223308227,725.0,11.7,0.1871119016356653,31.63486430915169,0.7000372744277031,500.000766873603,0.6954694355655489,0.8505869573267107,1.4294551027405027,0.2273520981036449,-6.236539462634028e-05,6.236539462634028e-05,0.0,0.0,2.777669177334019e-05,2.777669177334019e-05,-0.012087707467898667,0.012087707467898667,-0.0007668736030268519,0.0007668736030268519,0.0,0.0,-2.903229696821219e-05,2.903229696821219e-05,-3.7274427703182234e-05,3.7274427703182234e-05,1.1188221698051612e-06,1000.0,0.3538026353275974,1.0727182336893797e-06,91.08884830179882,local,0.019196159055569303,5.710113756526174e-11,0.9999999970253874,False,0.8154753215150043,-0.11543804708730121,False,707.1067811865474,-207.1060143129444,False
1,0.7104166666666666,500.0,transmission,45.0,s,110.0,6.293323460160803e-11,8.39738681504881e-10,2.897824496937109e-05,1.119208136874018e-06,2.9353421144846334e-05,3.2764938245159747e-06,0.9827282864650492,0.4939242775400594,1.2264371914793196e-05,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.7104166666666666,500.0,69.99993795597238,10.000054475135174,725.0,11.7,0.18709109861215212,31.629358496493424,0.7104448583450336,500.00225090492637,0.6954475731535488,0.8506815357465529,1.4189482563062858,0.2240215285147442,6.204402761511574e-05,6.204402761511574e-05,0.0,0.0,-5.447513517431446e-05,5.447513517431446e-05,-0.00658189480963145,0.00658189480963145,-0.0022509049263703673,0.0022509049263703673,0.0,0.0,-8.22927345503488e-06,8.22927345503488e-06,-2.819167836698444e-05,2.819167836698444e-05,1.1244994386952638e-06,1001.0,0.3555979453857914,1.1189136212940805e-06,90.76084843775101,local,0.021029600727906363,6.293323460160803e-11,0.9999999970073975,False,0.8154753215150043,-0.10503046316997078,False,707.1067811865474,-207.10453028162107,False
2,0.7208333333333333,500.0,transmission,45.0,s,110.0,6.542293098683767e-11,8.251952530369769e-10,2.8726211950707608e-05,1.1142083422422936e-06,2.9094010710512768e-05,3.449387315916305e-06,0.9815140855461953,0.4926638321176137,4.964698673391187e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.7208333333333333,500.0,69.99996693658375,10.000067174398616,725.0,11.7,0.18707981705064763,31.619657755500945,0.7208216799834122,499.9999646852298,0.6953618833235733,0.8507328347921557,1.4086945466474183,0.22079655414298563,3.306341625375353e-05,3.306341625375353e-05,0.0,0.0,-6.717439861603225e-05,6.717439861603225e-05,0.0031188461828470793,0.0031188461828470793,3.531477017304496e-05,3.531477017304496e-05,0.0,0.0,3.0522880494487925e-06,3.0522880494487925e-06,1.165334992114797e-05,1.165334992114797e-05,1.1300314788245527e-06,1002.0,0.357347330077392,1.1139660021995887e-06,90.83631708117917,local,0.022935340876786184,6.542293098683767e-11,0.9999999971475056,False,0.8154753215150043,-0.09465364153159217,False,707.1067811865474,-207.1068165013176,False
3,0.73125,500.0,transmission,45.0,s,110.0,6.719366130581156e-11,8.168228046747304e-10,2.858011204797368e-05,1.113117768864441e-06,2.8906277593383495e-05,3.1990414691620422e-06,0.9802440949294439,0.49138006236572646,3.4834044464941156e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.73125,500.0,70.00000392117224,10.00000098755586,725.0,11.7,0.187076274366609,31.62092978002423,0.7312517956167919,500.0055371307557,0.6953824541835443,0.8507489452136678,1.398619892317612,0.21764725098234086,-3.921172236687198e-06,3.921172236687198e-06,0.0,0.0,-9.875558593108735e-07,9.875558593108735e-07,0.0018468216595621811,0.0018468216595621811,-0.005537130755726594,0.005537130755726594,0.0,0.0,6.594972088075357e-06,6.594972088075357e-06,-1.7956167919219723e-06,1.7956167919219723e-06,1.135423215156897e-06,1003.0,0.359052346812721,1.1127707459535944e-06,90.88143137365903,local,0.02489830319964063,6.719366130581156e-11,0.9999999973012755,False,0.8154753215150043,-0.08422352589821247,False,707.1067811865474,-207.1012440557917,False
4,0.7416666666666666,500.0,transmission,45.0,s,110.0,6.164313423774496e-11,8.556232913669136e-10,2.9251039150206502e-05,1.1438048955674115e-06,2.9627684250906406e-05,4.33409694718459e-06,0.9789533850886198,0.49008707415011293,1.1609492232259642e-05,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.7416666666666666,500.0,70.00006230288943,9.999936784960298,725.0,11.7,0.18712659010394536,31.634606991973488,0.7416917413692392,499.9915413337814,0.6954393112952534,0.8505201906553619,1.388722185654291,0.21458367973476278,-6.230288943243067e-05,6.230288943243067e-05,0.0,0.0,6.321503970241338e-05,6.321503970241338e-05,-0.011830390289695458,0.011830390289695458,0.008458666218587041,0.008458666218587041,0.0,0.0,-4.3720765248278504e-05,4.3720765248278504e-05,-2.5074702572625007e-05,2.5074702572625007e-05,1.1406793714785465e-06,1004.0,0.3607144893841515,1.141655514212602e-06,90.69349897823018,local,0.026912512189319965,6.164313423774496e-11,0.999999997709499,False,0.8154753215150043,-0.07378358014576514,False,707.1067811865474,-207.11523985276602,False
5,0.7520833333333333,500.0,transmission,45.0,s,110.0,5.945741489755064e-11,8.552966767267462e-10,2.9245455659413923e-05,1.148012825459724e-06,2.962280056106534e-05,3.791512373743644e-06,0.9775542042951036,0.48876530678278257,3.5571337442654777e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.7520833333333333,500.0,70.00001571172191,9.999959623195592,725.0,11.7,0.187090682192808,31.625973037723067,0.7520913667553605,499.9977596094747,0.6954111273364777,0.8506834291612491,1.3790959851706,0.21161650050380792,-1.5711721914613008e-05,1.5711721914613008e-05,0.0,0.0,4.037680440838187e-05,4.037680440838187e-05,-0.003196436039274886,0.003196436039274886,0.002240390525287239,0.002240390525287239,0.0,0.0,-7.812854110916811e-06,7.812854110916811e-06,-8.033422027153847e-06,8.033422027153847e-06,1.145804478341632e-06,1005.0,0.3623351904780626,1.1471478046707313e-06,90.68538309734922,local,0.02896988318925689,5.945741489755064e-11,0.9999999979476129,False,0.8154753215150043,-0.06338395475964387,False,707.1067811865474,-207.10902157707272,False
6,0.7625,500.0,transmission,45.0,s,110.0,6.503974786228751e-11,8.37847906342228e-10,2.8945602538938928e-05,1.140504768051116e-06,2.9296963930674906e-05,4.414852349275689e-06,0.9761119193391024,0.48752387752139426,8.679301011206839e-07,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.7625,500.0,70.00004903839496,9.99994466553585,725.0,11.7,0.18707783737514674,31.62233283568998,0.762497879073818,500.00025043344544,0.6953949764762131,0.850741837328076,1.3696561680530648,0.20872837480573164,-4.903839496250839e-05,4.903839496250839e-05,0.0,0.0,5.533446415029175e-05,5.533446415029175e-05,0.0004437659938112404,0.0004437659938112404,-0.0002504334454442869,0.0002504334454442869,0.0,0.0,5.031963550339302e-06,5.031963550339302e-06,2.120926181903293e-06,2.120926181903293e-06,1.1508028809767776e-06,1006.0,0.3639158241770274,1.1410007308415317e-06,90.7645838361756,local,0.031065479801815413,6.503974786228751e-11,0.9999999979063658,False,0.8154753215150043,-0.052977442441186295,False,707.1067811865474,-207.106530753102,False
7,0.7729166666666666,500.0,transmission,45.0,s,110.0,6.462309574417665e-11,8.411705250053991e-10,2.9002939937278758e-05,1.146921101354669e-06,2.9368252581514332e-05,3.255556621952274e-06,0.974626589972451,0.4864031760819086,3.746103141502301e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.7729166666666666,500.0,70.00005784166041,9.999937432946025,725.0,11.7,0.1870882492439668,31.625602856119357,0.7729260481778075,500.00060861196084,0.6954115790564095,0.8506944916906787,1.3603857103015031,0.20591225184751774,-5.78416604071208e-05,5.78416604071208e-05,0.0,0.0,6.256705397511553e-05,6.256705397511553e-05,-0.0028262544355648345,0.0028262544355648345,-0.0006086119608426088,0.0006086119608426088,0.0,0.0,-5.379905269720098e-06,5.379905269720098e-06,-9.381511140937882e-06,9.381511140937882e-06,1.1556787471244674e-06,1007.0,0.3654577084363084,1.1458179898218183e-06,90.7595267204288,local,0.0331930113037321,6.462309574417665e-11,0.9999999980531113,False,0.8154753215150043,-0.042549273337196825,False,707.1067811865474,-207.1061725745866,False
8,0.7833333333333333,500.0,transmission,45.0,s,110.0,5.7560893258955545e-11,8.510790357920849e-10,2.9173258916207576e-05,1.1577284654397852e-06,2.9521060543321984e-05,4.327762486137747e-06,0.9730744110587456,0.4852714142420476,2.669451176718862e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.7833333333333333,500.0,69.99995586843193,10.00001610923453,725.0,11.7,0.18708335675994078,31.62130231584628,0.7833266261033185,499.99925056024495,0.6953733877186146,0.8507167385077324,1.3513224718235737,0.20317826279392073,4.413156807459018e-05,4.413156807459018e-05,0.0,0.0,-1.61092345294378e-05,1.61092345294378e-05,0.0014742858375136336,0.0014742858375136336,0.0007494397550544818,0.0007494397550544818,0.0,0.0,-4.87421243700048e-07,4.87421243700048e-07,6.707230014835197e-06,6.707230014835197e-06,1.1604360747403533e-06,1008.0,0.3669621075204903,1.158430665888877e-06,90.69502288442912,local,0.03534794922761122,5.7560893258955545e-11,0.9999999983715917,False,0.8154753215150043,-0.03214869541168586,False,707.1067811865474,-207.1075306263025,False
9,0.79375,500.0,transmission,45.0,s,110.0,6.585024868417137e-11,8.05475038636128e-10,2.8380892139538676e-05,1.1301358539682043e-06,2.873628616717717e-05,3.6369761430773972e-06,0.9714826849725057,0.48412862603326107,8.089883619018541e-06,70.0,10.0,725.0,11.7,0.18708286933869708,31.622776601683793,0.79375,500.0,69.99992193559557,10.000163426509541,725.0,11.7,0.18710788245389878,31.62979166018903,0.7937706517296841,499.9979346092448,0.6954211429817908,0.8506052284093872,1.3424012660553115,0.20050494780209516,7.806440443403062e-05,7.806440443403062e-05,0.0,0.0,-0.00016342650954115356,0.00016342650954115356,-0.007015058505238869,0.007015058505238869,0.0020653907552059536,0.0020653907552059536,0.0,0.0,-2.5013115201699687e-05,2.5013115201699687e-05,-2.0651729684129094e-05,2.0651729684129094e-05,1.165078699535767e-06,1009.0,0.3684302343879983,1.125252580904041e-06,90.97709437570427,local,0.0375273368283393,6.585024868417137e-11,0.9999999982452725,False,0.8154753215150043,-0.021704669785320263,False,707.1067811865474,-207.10884657730264,False
