case_id,param_i,param_j,correlation
0,film_thickness_um,film_thickness_um,1.0
0,film_thickness_um,film_plasma_freq_thz,0.898178879082951
0,film_thickness_um,film_gamma_thz,-0.3347973067723206
0,film_plasma_freq_thz,film_thickness_um,0.898178879082951
0,film_plasma_freq_thz,film_plasma_freq_thz,1.0
0,film_plasma_freq_thz,film_gamma_thz,-0.2330088128326637
0,film_gamma_thz,film_thickness_um,-0.3347973067723206
0,film_gamma_thz,film_plasma_freq_thz,-0.2330088128326637
0,film_gamma_thz,film_gamma_thz,1.0
1,film_thickness_um,film_thickness_um,1.0
1,film_thickness_um,film_plasma_freq_thz,0.2838920460268302
1,film_thickness_um,film_gamma_thz,-0.57557544659019
1,film_plasma_freq_thz,film_thickness_um,0.2838920460268302
1,film_plasma_freq_thz,film_plasma_freq_thz,1.0
1,film_plasma_freq_thz,film_gamma_thz,0.370898494869572
1,film_gamma_thz,film_thickness_um,-0.57557544659019
1,film_gamma_thz,film_plasma_freq_thz,0.370898494869572
1,film_gamma_thz,film_gamma_thz,1.0
2,film_thickness_um,film_thickness_um,1.0
2,film_thickness_um,film_plasma_freq_thz,0.49236544306726476
2,film_thickness_um,film_gamma_thz,-0.5266518080733297
2,film_plasma_freq_thz,film_thickness_um,0.49236544306726476
2,film_plasma_freq_thz,film_plasma_freq_thz,1.0
2,film_plasma_freq_thz,film_gamma_thz,0.19132069733678808
2,film_gamma_thz,film_thickness_um,-0.5266518080733297
2,film_gamma_thz,film_plasma_freq_thz,0.19132069733678808
2,film_gamma_thz,film_gamma_thz,1.0
3,film_thickness_um,film_thickness_um,1.0
3,film_thickness_um,film_plasma_freq_thz,0.6007322580244887
3,film_thickness_um,film_gamma_thz,-0.47774675094352864
3,film_plasma_freq_thz,film_thickness_um,0.6007322580244887
3,film_plasma_freq_thz,film_plasma_freq_thz,1.0
3,film_plasma_freq_thz,film_gamma_thz,0.10221165591346103
3,film_gamma_thz,film_thickness_um,-0.47774675094352864
3,film_gamma_thz,film_plasma_freq_thz,0.10221165591346103
3,film_gamma_thz,film_gamma_thz,1.0
4,film_thickness_um,film_thickness_um,1.0
4,film_thickness_um,film_plasma_freq_thz,0.6611622529344768
4,film_thickness_um,film_gamma_thz,-0.4298467017642468
4,film_plasma_freq_thz,film_thickness_um,0.6611622529344768
4,film_plasma_freq_thz,film_plasma_freq_thz,1.0
4,film_plasma_freq_thz,film_gamma_thz,0.061883336008483864
4,film_gamma_thz,film_thickness_um,-0.4298467017642468
4,film_gamma_thz,film_plasma_freq_thz,0.061883336008483864
4,film_gamma_thz,film_gamma_thz,1.0
5,film_thickness_um,film_thickness_um,1.0
5,film_thickness_um,film_plasma_freq_thz,0.8475438599378834
5,film_thickness_um,film_gamma_thz,-0.17245611369026134
5,film_plasma_freq_thz,film_thickness_um,0.8475438599378834
5,film_plasma_freq_thz,film_plasma_freq_thz,1.0
5,film_plasma_freq_thz,film_gamma_thz,-0.07764483718626465
5,film_gamma_thz,film_thickness_um,-0.17245611369026134
5,film_gamma_thz,film_plasma_freq_thz,-0.07764483718626465
5,film_gamma_thz,film_gamma_thz,1.0
6,film_thickness_um,film_thickness_um,1.0
6,film_thickness_um,film_plasma_freq_thz,0.8467793376182635
6,film_thickness_um,film_gamma_thz,-0.1716564279684285
6,film_plasma_freq_thz,film_thickness_um,0.8467793376182635
6,film_plasma_freq_thz,film_plasma_freq_thz,1.0
6,film_plasma_freq_thz,film_gamma_thz,-0.07603412929546621
6,film_gamma_thz,film_thickness_um,-0.1716564279684285
6,film_gamma_thz,film_plasma_freq_thz,-0.07603412929546621
6,film_gamma_thz,film_gamma_thz,1.0
7,film_thickness_um,film_thickness_um,1.0
7,film_thickness_um,film_plasma_freq_thz,0.8461157981057548
7,film_thickness_um,film_gamma_thz,-0.1709447631553123
7,film_plasma_freq_thz,film_thickness_um,0.8461157981057548
7,film_plasma_freq_thz,film_plasma_freq_thz,1.0
7,film_plasma_freq_thz,film_gamma_thz,-0.07462699214089347
7,film_gamma_thz,film_thickness_um,-0.1709447631553123
7,film_gamma_thz,film_plasma_freq_thz,-0.07462699214089347
7,film_gamma_thz,film_gamma_thz,1.0
8,film_thickness_um,film_thickness_um,1.0
8,film_thickness_um,film_plasma_freq_thz,0.845529696572604
8,film_thickness_um,film_gamma_thz,-0.17030331639972582
8,film_plasma_freq_thz,film_thickness_um,0.845529696572604
8,film_plasma_freq_thz,film_plasma_freq_thz,1.0
8,film_plasma_freq_thz,film_gamma_thz,-0.0733777220674967
8,film_gamma_thz,film_thickness_um,-0.17030331639972582
8,film_gamma_thz,film_plasma_freq_thz,-0.0733777220674967
8,film_gamma_thz,film_gamma_thz,1.0
