case_id,tau_ps,sigma_s_per_m,measurement_mode,measurement_angle_deg,measurement_polarization,noise_dynamic_range_db,weighted_data_fit,data_fit,relative_l2,residual_rms,fit_sigma,max_abs_residual,max_abs_parameter_correlation,mean_abs_parameter_correlation,recovery_error,true_thickness_um,true_eps_inf,true_tau_ps,true_sigma_s_per_m,fit_thickness_um,fit_plasma_freq_thz,fit_gamma_thz,fit_tau_ps,fit_sigma_s_per_m,signed_err_sigma_s_per_m,abs_err_sigma_s_per_m,signed_err_tau_ps,abs_err_tau_ps,signed_err_thickness_um,abs_err_thickness_um,noise_sigma,noise_seed,clean_peak_abs,noise_rms,observed_snr_db,optimizer_stage,initial_objective_value,final_objective_value,objective_improvement_fraction,stuck_to_initial,initial_tau_ps,fit_minus_initial_tau_ps,stuck_to_initial_tau_ps,initial_sigma_s_per_m,fit_minus_initial_sigma_s_per_m,stuck_to_initial_sigma_s_per_m
0,0.1,100.0,transmission,45.0,p,110.0,0.9882857095629354,1.019258150973996,1.0095831570375944,0.004611161370295437,1.0095831570375962,0.044551431599845516,0.898178879082951,0.48866166622931173,1.025207623447665,725.0,11.7,0.1,100.0,715.0,3.580671087928636,0.35929343362696503,0.44296646750615915,1985.2178760460722,-1885.2178760460722,1885.2178760460722,-0.3429664675061591,0.3429664675061591,10.0,10.0,1.405298006333543e-07,1000.0,0.04443942491307724,1.3473890988628722e-07,90.60350322467998,local,4.547060804613764,0.9882857095629354,0.7826539489948866,False,0.316,0.12696646750615914,False,316.22776601683796,1668.9901100292343,False
1,0.1375,100.0,transmission,45.0,p,110.0,7.791821942173338e-11,1.0288040765925093e-09,3.207497586269566e-05,2.655549602967599e-07,3.206193671237607e-05,7.812320869378213e-07,0.57557544659019,0.41012199582886405,9.003938613364624e-07,725.0,11.7,0.1375,100.0,724.9999499480809,1.4424283614695133,1.157492415872546,0.13749977184249668,99.99975827270784,0.00024172729216331845,0.00024172729216331845,2.2815750333471385e-07,2.2815750333471385e-07,5.005191906093387e-05,5.005191906093387e-05,2.6807857519272077e-07,1001.0,0.08477388895017099,2.667469267110125e-07,89.83776344495176,local,2.5599066353419877,7.791821942173338e-11,0.9999999999695621,False,0.316,-0.17850022815750333,False,316.22776601683796,-216.22800774413014,False
2,0.175,100.0,transmission,45.0,p,110.0,7.27295814603247e-11,1.023369980388272e-09,3.199015442895316e-05,4.0885978234746295e-07,3.197636322173211e-05,1.2673769112500404e-06,0.5266518080733297,0.40344598282579414,4.819225841616809e-07,725.0,11.7,0.175,100.0,725.0000209612319,1.278576493020296,0.9094557538977927,0.17500020469361025,100.00010462225961,-0.00010462225961305194,0.00010462225961305194,-2.0469361025621247e-07,2.0469361025621247e-07,-2.0961231939509162e-05,2.0961231939509162e-05,4.1516025141995304e-07,1002.0,0.1312851988455205,4.0925798458957246e-07,89.89121415445723,local,2.032022750923939,7.27295814603247e-11,0.9999999999642084,False,0.316,-0.14099979530638976,False,316.22776601683796,-216.22766139457835,False
3,0.2125,100.0,transmission,45.0,p,110.0,6.391912506441532e-11,1.0000338096455485e-09,3.162331117459948e-05,5.544843259775857e-07,3.156960673665387e-05,1.5945655257283231e-06,0.6007322580244887,0.3935635549604928,4.640421530265987e-07,725.0,11.7,0.2125,100.0,724.9999932870844,1.160289229415584,0.7489635739305334,0.21250024518102534,100.00009757734205,-9.757734204640656e-05,9.757734204640656e-05,-2.451810253434328e-07,2.451810253434328e-07,6.712915592288482e-06,6.712915592288482e-06,5.663239040525439e-07,1003.0,0.17908734302047,5.550253550848125e-07,89.99137959977062,local,1.8093883577604397,6.391912506441532e-11,0.9999999999646736,False,0.316,-0.10349975481897467,False,316.22776601683796,-216.22766843949591,False
4,0.25,100.0,transmission,45.0,p,110.0,6.506281215955047e-11,1.0040911066829056e-09,3.168739665360513e-05,7.032475492231997e-07,3.168280027719798e-05,2.671614370037783e-06,0.6611622529344768,0.38429743023573587,3.0134502029741537e-07,725.0,11.7,0.25,100.0,724.9999847002415,1.069733375324655,0.636619762255184,0.2500000039711292,99.99990188450819,9.811549180938073e-05,9.811549180938073e-05,-3.971129203250712e-09,3.971129203250712e-09,1.5299758501896576e-05,1.5299758501896576e-05,7.034062513718492e-07,1004.0,0.2224365874735982,7.040081951945385e-07,89.9728731261227,local,1.6774540225621994,6.506281215955047e-11,0.9999999999612134,False,0.316,-0.0659999960288708,False,316.22776601683796,-216.22786413232978,False
5,0.2875,100.0,transmission,45.0,p,110.0,0.619771187372968,0.8796634691876329,0.9379037632868487,0.024922215088558287,0.9379037632868463,0.19443135881852858,0.8475438599378834,0.3658816036048031,0.8917961712997107,725.0,11.7,0.2875,100.0,715.0,1.9851401135087363,0.15915494309189535,1.0,1377.497429135032,-1277.497429135032,1277.497429135032,-0.7125,0.7125,10.0,10.0,8.292656740900244e-07,1005.0,0.2622368315519356,8.302378944250676e-07,90.1045076736946,local,1.5837166264624303,0.619771187372968,0.6086603013334781,False,0.316,0.6839999999999999,False,316.22776601683796,1061.269663118194,False
6,0.32499999999999996,100.0,transmission,45.0,p,110.0,0.6292985692949825,0.8415527821754956,0.9173618599960954,0.028061415886416082,0.9173618599959885,0.22427985189918243,0.8467793376182635,0.36482329829405274,0.8669523813453772,725.0,11.7,0.32499999999999996,100.0,715.0,1.9525261554585058,0.15915494309189535,1.0,1332.6072973641506,-1232.6072973641506,1232.6072973641506,-0.675,0.675,10.0,10.0,9.34807281930514e-07,1006.0,0.2956120184211588,9.268449093326202e-07,90.37124810001019,local,1.5106116362014985,0.6292985692949825,0.583414721418814,False,0.316,0.6839999999999999,False,316.22776601683796,1016.3795313473126,False
7,0.36250000000000004,100.0,transmission,45.0,p,110.0,0.6404698835530676,0.8243850895429079,0.9079565460653433,0.03107390248739425,0.9079565460653208,0.2463958990309312,0.8461157981057548,0.36389585113398687,0.8460528757807452,725.0,11.7,0.36250000000000004,100.0,715.0,1.9250345049721342,0.15915494309189535,1.0,1295.34514982226,-1195.34514982226,1195.34514982226,-0.6375,0.6375,10.0,10.0,1.0324685379544973e-06,1007.0,0.3264952192400215,1.0236590641273677e-06,90.48349829224733,local,1.4518290668642484,0.6404698835530676,0.5588531059400852,False,0.316,0.6839999999999999,False,316.22776601683796,979.1173838054222,False
8,0.4,100.0,transmission,45.0,p,110.0,0.6517993851975622,0.8171897308156846,0.9039854704671336,0.03388876711243626,0.9039854704670102,0.2649495068502168,0.845529696572604,0.3630702450132755,0.8282408613642428,725.0,11.7,0.4,100.0,715.0,1.9013651043328679,0.15915494309189535,1.0,1263.686962032621,-1163.686962032621,1163.686962032621,-0.6,0.6,10.0,10.0,1.1052159682194202e-06,1008.0,0.3494999765961638,1.1033059880545424e-06,90.62396656383163,local,1.4035150152306282,0.6517993851975622,0.5355950038835479,False,0.316,0.6839999999999999,False,316.22776601683796,947.4591960157832,False
9,0.4375,100.0,transmission,45.0,p,110.0,0.6626371382812727,0.8150488170336181,0.9028005411128296,0.036481585517504904,0.9028005411128254,0.2904438809722036,0.8450110165982373,0.36233493381742665,0.8129796365358732,725.0,11.7,0.4375,100.0,715.0,1.8808871817410209,0.15915494309189535,1.0,1236.6134337523106,-1136.6134337523106,1136.6134337523106,-0.5625,0.5625,10.0,10.0,1.1770070180548676e-06,1009.0,0.3722022999056308,1.136773151321144e-06,91.01615729714153,local,1.3632918221183463,0.6626371382812727,0.5139432896680651,False,0.316,0.6839999999999999,False,316.22776601683796,920.3856677354727,False
