case_id,tau_ps,sigma_s_per_m,measurement_mode,measurement_angle_deg,measurement_polarization,noise_dynamic_range_db,weighted_data_fit,data_fit,relative_l2,residual_rms,fit_sigma,max_abs_residual,max_abs_parameter_correlation,mean_abs_parameter_correlation,recovery_error,true_thickness_um,true_eps_inf,true_tau_ps,true_sigma_s_per_m,fit_thickness_um,fit_plasma_freq_thz,fit_gamma_thz,fit_tau_ps,fit_sigma_s_per_m,signed_err_sigma_s_per_m,abs_err_sigma_s_per_m,signed_err_tau_ps,abs_err_tau_ps,signed_err_thickness_um,abs_err_thickness_um,noise_sigma,noise_seed,clean_peak_abs,noise_rms,observed_snr_db,optimizer_stage,initial_objective_value,final_objective_value,objective_improvement_fraction,stuck_to_initial,initial_tau_ps,fit_minus_initial_tau_ps,stuck_to_initial_tau_ps,initial_sigma_s_per_m,fit_minus_initial_sigma_s_per_m,stuck_to_initial_sigma_s_per_m
0,0.1,0.01,transmission,45.0,s,110.0,7.570463702818347e-11,9.049056912770226e-10,3.0081650408131242e-05,1.7308012352903857e-06,3.007868312209324e-05,6.9078658310826185e-06,0.8887421653353846,0.6779999759370395,0.0029806741448338645,525.0,11.7,0.1,0.01,524.9999906202198,0.016876171551057362,1.5777220815485593,0.10087641223584969,0.010042595197637423,-4.259519763742323e-05,4.259519763742323e-05,-0.0008764122358496801,0.0008764122358496801,9.379780181006936e-06,9.379780181006936e-06,1.8005150226001008e-06,1000.0,0.5693728432765863,1.726320184655788e-06,90.45648597371087,local,2.5867125835755756e-06,7.570463702818347e-11,0.999970733262942,False,0.316,-0.2151235877641503,False,0.09999999999999999,-0.08995740480236257,False
1,0.1375,0.01,transmission,45.0,s,110.0,7.541977953957884e-11,9.685962571976813e-10,3.112227911316395e-05,1.790764270408281e-06,3.110972796184893e-05,5.261711064336212e-06,0.7722660346614265,0.4830716051580497,0.001284949451123594,525.0,11.7,0.1375,0.01,524.9999936222673,0.01439124353814517,1.1569992005985295,0.13755838639262896,0.009958460032291819,4.153996770818111e-05,4.153996770818111e-05,-5.8386392628950734e-05,5.8386392628950734e-05,6.3777326886338415e-06,6.3777326886338415e-06,1.8005743943862776e-06,1001.0,0.5693916182838934,1.791630254942168e-06,90.13436351302799,local,2.606882990838186e-06,7.541977953957884e-11,0.9999710689816901,False,0.316,-0.17844161360737104,False,0.09999999999999999,-0.09004153996770817,False
2,0.175,0.01,transmission,45.0,s,110.0,7.157242366746101e-11,9.534375606637873e-10,3.08777842576793e-05,1.776764581472562e-06,3.086452453130092e-05,5.50951445402615e-06,0.6817875329375513,0.39683023580429433,0.00329882875629815,525.0,11.7,0.175,0.01,524.9999936561197,0.012845038606651045,0.9191947372762073,0.17314605560461466,0.009986007706169555,1.3992293830445215e-05,1.3992293830445215e-05,0.0018539443953853318,0.0018539443953853318,6.343880272652314e-06,6.343880272652314e-06,1.8006225604810947e-06,1002.0,0.5694068497404552,1.7750233978048035e-06,90.21560473851679,local,2.637752753331546e-06,7.157242366746101e-11,0.9999728661363061,False,0.316,-0.14285394439538535,False,0.09999999999999999,-0.09001399229383043,False
3,0.2125,0.01,transmission,45.0,s,110.0,7.938608317426676e-11,9.42733116815875e-10,3.070395930195119e-05,1.7668232735350527e-06,3.065204080598919e-05,5.096280953088492e-06,0.6211755464972124,0.3921542790920837,0.0024759321045072246,525.0,11.7,0.2125,0.01,525.0000154808715,0.011615122668142634,0.7455648106951406,0.21346895777377745,0.0100667851054971,-6.67851054971004e-05,6.67851054971004e-05,-0.0009689577737774513,0.0009689577737774513,-1.5480871525141993e-05,1.5480871525141993e-05,1.800661043678873e-06,1003.0,0.5694190191961178,1.7647366251070514e-06,90.2663789609129,local,2.6832912132334033e-06,7.938608317426676e-11,0.9999704146598839,False,0.316,-0.10253104222622256,False,0.09999999999999999,-0.08993321489450289,False
4,0.25,0.01,transmission,45.0,s,110.0,9.239590611383328e-11,9.801135143226666e-10,3.130676467351212e-05,1.8015579005114633e-06,3.130222992143163e-05,6.477305267482691e-06,0.5947795112010091,0.38465756842570986,0.0023325075751812374,525.0,11.7,0.25,0.01,525.0000008045325,0.010728471277735236,0.6413628054528596,0.24815118952761486,0.009983906695243768,1.6093304756232413e-05,1.6093304756232413e-05,0.0018488104723851373,0.0018488104723851373,-8.045325330385822e-07,8.045325330385822e-07,1.8006918952006402e-06,1004.0,0.5694287753039244,1.8022328473329211e-06,90.08399441370186,local,2.7302571457626844e-06,9.239590611383328e-11,0.9999661585333611,False,0.316,-0.06784881047238514,False,0.09999999999999999,-0.09001609330475623,False
5,0.2875,0.01,transmission,45.0,s,110.0,7.912937891894073e-11,9.838214553566377e-10,3.13659282559378e-05,1.8050024426942363e-06,3.136538809566111e-05,5.924652811821994e-06,0.5814500730409072,0.3756121966719111,0.0023662906958956064,525.0,11.7,0.2875,0.01,525.0000297040597,0.010026468159716119,0.5553763768522736,0.28657132302591526,0.010070178141916901,-7.017814191690071e-05,7.017814191690071e-05,0.0009286769740847189,0.0009286769740847189,-2.9704059670621064e-05,2.9704059670621064e-05,1.800716878680028e-06,1005.0,0.5694366757737985,1.802828015824328e-06,90.08131775347078,local,2.77617914644124e-06,7.912937891894073e-11,0.9999714970199165,False,0.316,-0.029428676974084744,False,0.09999999999999999,-0.0899298218580831,False
6,0.32499999999999996,0.01,transmission,45.0,s,110.0,7.935054209040282e-11,9.690591564503504e-10,3.1129715007535004e-05,1.7914415307161837e-06,3.1108881954007656e-05,6.889422430462512e-06,0.5770672988983911,0.36751822835918696,0.0030379001082297095,525.0,11.7,0.32499999999999996,0.01,525.0000246921657,0.009447919330651556,0.4933517266720909,0.322599343404505,0.010065707328997376,-6.570732899737614e-05,6.570732899737614e-05,0.002400656595494932,0.002400656595494932,-2.4692165652595577e-05,2.4692165652595577e-05,1.800737356289068e-06,1006.0,0.5694431513623587,1.7853992838769774e-06,90.16585313293403,local,2.8173283785283837e-06,7.935054209040282e-11,0.9999718348266765,False,0.316,0.00659934340450502,False,0.09999999999999999,-0.08993429267100261,False
7,0.36250000000000004,0.01,transmission,45.0,s,110.0,7.411800792708722e-11,9.746533961213507e-10,3.121943939473209e-05,1.7966320151212306e-06,3.1215423403700804e-05,5.062766361939308e-06,0.5765436146187072,0.36803435952309943,0.0028582410387341774,525.0,11.7,0.36250000000000004,0.01,525.0000235373532,0.008908868385568652,0.44291723135252464,0.35933337388091247,0.009968988790853662,3.101120914633833e-05,3.101120914633833e-05,0.003166626119087579,0.003166626119087579,-2.3537353172287112e-05,2.3537353172287112e-05,1.8007543469150795e-06,1007.0,0.5694485242700655,1.7853895220267836e-06,90.16602992681301,local,2.8621755767541886e-06,7.411800792708722e-11,0.9999741043112348,False,0.316,0.04333337388091246,False,0.09999999999999999,-0.09003101120914633,False
8,0.4,0.01,transmission,45.0,s,110.0,7.817794063726749e-11,9.783688336987395e-10,3.1278887986927216e-05,1.8000796821264666e-06,3.125691606901409e-05,6.597135176264826e-06,0.577941876963977,0.393391789502604,0.003775778796511951,525.0,11.7,0.4,0.01,524.9999813568077,0.008404395531952671,0.39781461267680784,0.4000731446765528,0.009877813745175329,0.0001221862548246716,0.0001221862548246716,-7.314467655278323e-05,7.314467655278323e-05,1.864319233391143e-05,1.864319233391143e-05,1.8007686083872053e-06,1008.0,0.569453034143536,1.797656608178389e-06,90.10666271676634,local,2.89967409094349e-06,7.817794063726749e-11,0.9999730390594993,False,0.316,0.0840731446765528,False,0.09999999999999999,-0.09012218625482467,False
9,0.4375,0.01,transmission,45.0,s,110.0,7.574162024282087e-11,9.139196635050935e-10,3.0231104238930695e-05,1.7397962802462205e-06,3.023031155717593e-05,5.658091816885223e-06,0.5796217469312752,0.41053877471562633,0.001861309448994003,525.0,11.7,0.4375,0.01,525.0000076949392,0.008113994469594057,0.36597502540533733,0.4348792459693733,0.010007983100942848,-7.983100942847432e-06,7.983100942847432e-06,0.0026207540306267263,0.0026207540306267263,-7.694939199609507e-06,7.694939199609507e-06,1.800780707364094e-06,1009.0,0.5694568601759685,1.7392242596238195e-06,90.39377659947114,local,2.9279651111616257e-06,7.574162024282087e-11,0.9999741316520631,False,0.316,0.11887924596937327,False,0.09999999999999999,-0.08999201689905714,False
