case_slug,title,channel,mode,angle_deg,polarization,x_key,y_key,row_count,noise_dynamic_range_db,median_recovery_error,p90_recovery_error,max_recovery_error,mean_abs_sigma_error_s_per_m,median_abs_sigma_error_s_per_m,p90_abs_sigma_error_s_per_m,max_abs_sigma_error_s_per_m,mean_signed_sigma_error_s_per_m,sigma_stuck_fraction,overall_stuck_fraction,median_observed_snr_db,median_objective_improvement_fraction,median_abs_n_error_cm3,p90_abs_n_error_cm3,max_abs_n_error_cm3,median_abs_log10_n_ratio,p90_abs_log10_n_ratio,abs_n_error_log_png,signed_n_log_ratio_png,carrier_density_rows_csv
one_layer_tx_tau_sigma_low_s_0deg,"One-layer Drude transmission: $\tau$ vs $\sigma$ (0 deg, s-pol, $d=525\,\mu$m)",single,transmission,0.0,s,tau_ps,sigma_s_per_m,625,110.0,0.0001328474642641579,0.0008335329964723111,0.0223451495608889,0.00014987653658789476,0.0001024786270258371,0.0003330180969530861,0.000870316161785456,9.573705847843348e-06,0.0,0.0,89.647275617141,0.9999954981237242,1750163457.1777344,4347693003.546094,11508008416.191406,8.353630414712983e-05,0.00043287318718133663,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_low_s_0deg__n_abs_error_log.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_low_s_0deg__n_signed_log_ratio.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_low_s_0deg__carrier_density_rows.csv
one_layer_tx_tau_sigma_low_s_45deg,"One-layer Drude transmission: $\tau$ vs $\sigma$ (45 deg, s-pol, $d=525\,\mu$m)",single,transmission,45.0,s,tau_ps,sigma_s_per_m,625,110.0,9.940348776545948e-05,0.000663005928244514,0.011319334091817478,0.00011838431290009319,8.175764221918236e-05,0.00026098137594341987,0.0007030801363459016,1.1658567793658437e-05,0.0,0.0,90.09587401448346,0.9999962964465517,1301704876.2421875,3532275678.2074223,12941057254.71875,6.538395188041173e-05,0.0003803400479172142,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_low_s_45deg__n_abs_error_log.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_low_s_45deg__n_signed_log_ratio.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_low_s_45deg__carrier_density_rows.csv
one_layer_tx_tau_sigma_high_s_0deg,"One-layer Drude transmission: $\tau$ vs $\sigma$ (0 deg, s-pol, $d=725\,\mu$m)",single,transmission,0.0,s,tau_ps,sigma_s_per_m,625,110.0,9.705925800848365e-07,0.6140998918363413,1.0772226435976335,847.1077272774711,0.0011381652232103079,2740.4721772094326,5462.940581944385,-824.6887096429068,0.0,0.0,90.92660730771476,0.9999999998387715,5144404962.0,3.8090974665362456e+16,8.009471516610016e+16,3.6429802409415717e-07,0.7318466218287915,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_high_s_0deg__n_abs_error_log.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_high_s_0deg__n_signed_log_ratio.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_high_s_0deg__carrier_density_rows.csv
one_layer_tx_tau_sigma_high_p_45deg,"One-layer Drude transmission: $\tau$ vs $\sigma$ (45 deg, p-pol, $d=725\,\mu$m)",single,transmission,45.0,p,tau_ps,sigma_s_per_m,625,110.0,1.1756541354962196e-06,0.6180465383906277,1.025207623447665,884.3938803268146,0.0012798187160569796,2763.757315918126,5588.499003166782,-861.521190908474,0.0,0.0,90.89908474321219,0.999999999807202,5692124591.0,3.816019799830091e+16,7.989394298570387e+16,4.178210476755233e-07,0.7330985128577207,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_high_p_45deg__n_abs_error_log.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_high_p_45deg__n_signed_log_ratio.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_tx_tau_sigma_high_p_45deg__carrier_density_rows.csv
one_layer_refl_tau_sigma_low_s_45deg,"One-layer Drude reflection: $\tau$ vs $\sigma$ (45 deg, s-pol, $d=525\,\mu$m)",single,reflection,45.0,s,tau_ps,sigma_s_per_m,625,110.0,0.00012079199400132659,0.0006615904685045694,0.021445861759989235,0.00013383627939480772,9.940211975267843e-05,0.0003079150540231224,0.0006846680916293701,-1.1308373681950649e-05,0.0,0.0,90.65958514103143,0.9999909139762228,1200644834.9082031,3497077177.70293,13537246232.96875,5.9647519314569103e-05,0.00039197159633248737,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_low_s_45deg__n_abs_error_log.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_low_s_45deg__n_signed_log_ratio.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_low_s_45deg__carrier_density_rows.csv
one_layer_refl_tau_sigma_low_s_60deg,"One-layer Drude reflection: $\tau$ vs $\sigma$ (60 deg, s-pol, $d=525\,\mu$m)",single,reflection,60.0,s,tau_ps,sigma_s_per_m,625,110.0,0.0001271290587260576,0.000826073018631805,0.02192053593785331,0.00015462812201713245,0.00011171380306644607,0.0003521556555914352,0.000852525353567446,-1.7245042665038445e-05,0.0,0.0,90.31994861564243,0.9999857466399268,1157954132.1914062,3244122562.2851567,17631124119.46875,5.8879778676809186e-05,0.0003720860832572877,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_low_s_60deg__n_abs_error_log.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_low_s_60deg__n_signed_log_ratio.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_low_s_60deg__carrier_density_rows.csv
one_layer_refl_tau_sigma_high_p_45deg,"One-layer Drude reflection: $\tau$ vs $\sigma$ (45 deg, p-pol, $d=725\,\mu$m)",single,reflection,45.0,p,tau_ps,sigma_s_per_m,625,110.0,1.7832390833115677e-06,4.64028692269766e-06,1.3146646258579478e-05,0.002185095642404417,0.0014430994142458076,0.005204405349843458,0.012395763158906448,-0.00010434991590207119,0.0,0.0,89.82962972089456,0.999999996562782,19483050025.0,105706186712.60004,834286608680.0,9.914714263766337e-07,2.985825164764097e-06,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_high_p_45deg__n_abs_error_log.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_high_p_45deg__n_signed_log_ratio.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_high_p_45deg__carrier_density_rows.csv
one_layer_refl_tau_sigma_high_p_60deg,"One-layer Drude reflection: $\tau$ vs $\sigma$ (60 deg, p-pol, $d=725\,\mu$m)",single,reflection,60.0,p,tau_ps,sigma_s_per_m,625,110.0,1.1372019745890765e-06,2.6064244255603815e-06,7.455067969801017e-06,0.0012784902896843505,0.000953658381462219,0.002912305074119105,0.00742227192131395,-7.632390002854663e-05,0.0,0.0,90.81286870449438,0.9999999988758471,12791988528.0,64851305294.20002,587147135560.0,6.380445668451731e-07,1.982218148717789e-06,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_high_p_60deg__n_abs_error_log.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_high_p_60deg__n_signed_log_ratio.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/one_layer_refl_tau_sigma_high_p_60deg__carrier_density_rows.csv
advanced_tx_tau1_sigma1_0deg_s_525um,"Two-Drude transmission: $\tau_1$ vs $\sigma_1$ (0 deg, s-pol, $d_{\mathrm{sub}}=525\,\mu$m, $d_{\mathrm{epi}}=50\,\mu$m)",1,transmission,0.0,s,tau1_ps,sigma1_s_per_m,625,110.0,0.058594901352263064,0.385347328247339,0.6488297473205848,0.012754415263709736,0.0067907276402404525,0.03567300893520403,0.07319381113392416,0.00877359171153396,0.0032,0.0,89.78149797947191,0.9695525119540946,127711727645.39331,670030976470.1272,1395648770851.896,0.028240453551551917,0.25441629050089287,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/advanced_tx_tau1_sigma1_0deg_s_525um__n1_abs_error_log.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/advanced_tx_tau1_sigma1_0deg_s_525um__n1_signed_log_ratio.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/advanced_tx_tau1_sigma1_0deg_s_525um__carrier_density_rows.csv
advanced_tx_tau2_sigma2_0deg_s_525um,"Two-Drude transmission: $\tau_2$ vs $\sigma_2$ (0 deg, s-pol, $d_{\mathrm{sub}}=525\,\mu$m, $d_{\mathrm{epi}}=50\,\mu$m)",2,transmission,0.0,s,tau2_ps,sigma2_s_per_m,625,110.0,0.001038398317559832,0.002352877966518061,0.005849711843048206,0.0014296286027874507,0.0011501960809061629,0.002877713591553133,0.010440489857558077,2.4766230690181425e-05,0.0016,0.0,89.78159109963222,0.9845031127026032,28647727711.90918,80691957159.3176,271534043472.00586,0.001250504603748184,0.003554570756529221,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/advanced_tx_tau2_sigma2_0deg_s_525um__n2_abs_error_log.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/advanced_tx_tau2_sigma2_0deg_s_525um__n2_signed_log_ratio.png,docs/lecture_build/notebook_section_runs/savecopy6_carrier_density_maps/advanced_tx_tau2_sigma2_0deg_s_525um__carrier_density_rows.csv
