abs_err_n_cm3,abs_err_sigma_s_per_m,abs_err_tau_ps,abs_err_thickness_um,case_id,clean_peak_abs,data_fit,final_objective_value,fit_gamma_thz,fit_minus_initial_sigma_s_per_m,fit_minus_initial_tau_ps,fit_n_cm3,fit_plasma_freq_thz,fit_sigma,fit_sigma_s_per_m,fit_tau_ps,fit_thickness_um,initial_objective_value,initial_sigma_s_per_m,initial_tau_ps,log10_true_over_fit_n,max_abs_parameter_correlation,max_abs_residual,mean_abs_parameter_correlation,measurement_angle_deg,measurement_mode,measurement_polarization,noise_dynamic_range_db,noise_rms,noise_seed,noise_sigma,objective_improvement_fraction,observed_snr_db,optimizer_stage,recovery_error,relative_l2,residual_rms,sigma_s_per_m,signed_err_n_cm3,signed_err_sigma_s_per_m,signed_err_tau_ps,signed_err_thickness_um,stuck_to_initial,stuck_to_initial_sigma_s_per_m,stuck_to_initial_tau_ps,tau_ps,true_eps_inf,true_n_cm3,true_sigma_s_per_m,true_tau_ps,true_thickness_um,weighted_data_fit
44848281476.0,0.000703512146330354,1.1895940089101664e-06,0.00026393358211862505,0,0.2851924515911515,1.0364848938385891e-09,7.783742426246844e-11,1.5915304981674971,-216.22706250469162,-0.2159988104059911,9226552241931040.0,1.691393710013087,3.309874458141727e-05,100.00070351214633,0.10000118959400892,724.9997360664179,0.05216098709242004,316.22776601683796,0.316,2.111006724938439e-06,0.9588755181617222,3.3625444228538304e-06,0.3739362054806972,60.0,reflection,p,110.0,8.64694358902047e-07,1000.0,9.018577185153503e-07,0.9999999985077463,89.84951234359812,local,4.24415149586379e-06,3.21944854569628e-05,8.652054451335657e-07,100.0,44848281476.0,-0.000703512146330354,-1.1895940089101664e-06,0.00026393358211862505,False,False,False,0.1,11.7,9226597090212516.0,100.0,0.1,725.0,7.783742426246844e-11
20273353852.0,0.00042815859343647844,1.0041369830071645e-06,9.367567997742299e-05,1,0.2820935200176548,1.114109578897447e-09,8.40956440668378e-11,1.1574989482137965,-216.22819417543138,-0.178501004136983,6710272702599317.0,1.4424310870797845,3.432663038012738e-05,99.99957184140656,0.137498995863017,725.00009367568,0.05645723591612318,316.22776601683796,0.316,-1.312110460818974e-06,0.8982793470237372,2.598696700027237e-06,0.46325282024947684,60.0,reflection,p,110.0,8.876268440867886e-07,1001.0,8.920580364300914e-07,0.9999999985104541,89.5290253976617,local,2.5996713977005066e-06,3.3378280047022306e-05,8.87455125157069e-07,100.0,-20273353852.0,0.00042815859343647844,1.0041369830071645e-06,-9.367567997742299e-05,False,False,False,0.1375,11.7,6710252429245465.0,100.0,0.1375,725.0,8.40956440668378e-11
81570351781.0,0.0005487575559186553,3.6677590726508225e-06,0.0002706962247884803,2,0.2800091530435032,1.0891549251868655e-09,7.458764802332312e-11,0.9094758790302974,-216.22831477439388,-0.14100366775907267,5272422764758934.0,1.278586462572269,3.395201486671458e-05,99.99945124244408,0.17499633224092734,725.0002706962248,0.06232068743613697,316.22776601683796,0.316,-6.719079498261636e-06,0.7750526009756484,2.6519224639032224e-06,0.4770481444216388,60.0,reflection,p,110.0,8.72878151146708e-07,1002.0,8.854666893121391e-07,0.9999999988031639,89.61826806363425,local,6.653263517463502e-06,3.3002347267836354e-05,8.717899663229931e-07,100.0,-81570351781.0,0.0005487575559186553,3.6677590726508225e-06,-0.0002706962247884803,False,False,False,0.175,11.7,5272341194407153.0,100.0,0.175,725.0,7.458764802332312e-11
167920265.0,0.0004351165948577318,9.164045481069305e-07,7.21466318509556e-05,3,0.2785956782112395,1.0706275543838276e-09,8.154403232357146e-11,0.7489676679965773,-216.22820113343283,-0.10350091640454812,4341927874532684.0,1.160289310256027,3.362477326996947e-05,99.99956488340514,0.2124990835954519,724.9999278533681,0.06895139936651891,316.22776601683796,0.316,1.679595914677704e-08,0.6168776982941728,2.4769698423454927e-06,0.43497566411152405,60.0,reflection,p,110.0,8.634203993221534e-07,1003.0,8.809968894268613e-07,0.9999999988173693,89.68895892301157,local,1.8813122368814157e-06,3.27204455101673e-05,8.619641056883245e-07,100.0,167920265.0,0.0004351165948577318,9.164045481069305e-07,7.21466318509556e-05,False,False,False,0.2125,11.7,4341928042452949.0,100.0,0.2125,725.0,8.154403232357146e-11
38557537824.5,0.0005229621205273816,3.919211486957952e-06,6.219503279680794e-05,4,0.2776238060625175,1.12852344400866e-09,9.697836227021763e-11,0.6366297527141406,-216.2282889789585,-0.06600391921148696,3690677393622831.5,1.0697394965565112,3.457467420933485e-05,99.99947703787947,0.24999608078851304,725.0000621950328,0.07583446029134862,316.22776601683796,0.316,-4.537219485531301e-06,0.6417953214116664,3.3461983924300796e-06,0.38422284265243206,60.0,reflection,p,110.0,8.786748478252469e-07,1004.0,8.779235598424179e-07,0.9999999987211835,89.54166079330336,local,5.075083932967923e-06,3.3593503002941804e-05,8.854557993255774e-07,100.0,-38557537824.5,0.0005229621205273816,3.919211486957952e-06,-6.219503279680794e-05,False,False,False,0.25,11.7,3690638836085007.0,100.0,0.25,725.0,9.697836227021763e-11
3119347193.0,0.00015931555640236184,1.7858642381574086e-07,1.5831711266400816e-05,5,0.276946072446778,1.0981038889146116e-09,1.055226613012567e-10,0.5535827546235124,-216.22792533239436,-0.02850017858642384,3209248042465856.5,0.9975315285211821,3.410285485855547e-05,99.9998406844436,0.28749982141357616,725.0000158317113,0.08280881935072495,316.22776601683796,0.316,4.2212836054958866e-07,0.6901128508696734,2.898177204469941e-06,0.35785145795811046,60.0,reflection,p,110.0,8.768071315411591e-07,1005.0,8.757803779698196e-07,0.9999999987257074,89.58988174385625,local,5.251194387747462e-07,3.313765062454807e-05,8.764349943622321e-07,100.0,3119347193.0,0.00015931555640236184,1.7858642381574086e-07,-1.5831711266400816e-05,False,False,False,0.2875,11.7,3209251161813049.5,100.0,0.2875,725.0,1.055226613012567e-10
10729880614.0,0.00013812267972923564,7.794424775053876e-07,4.0602176795800915e-05,6,0.2764676264412062,1.0632353338340856e-09,8.05114873946064e-11,0.48970869166661923,-216.22762789415822,0.008999220557522447,2838963680715235.0,0.9382204760761891,3.3523672927777734e-05,100.00013812267973,0.32499922055752245,725.0000406021768,0.09000259752496734,316.22776601683796,0.316,-1.6414217554041318e-06,0.7222787055417804,3.3505695987458284e-06,0.35520996111239,60.0,reflection,p,110.0,8.66820684527261e-07,1006.0,8.742673988548031e-07,0.9999999991054538,89.73954568029917,local,8.499070548364356e-07,3.2607289581228396e-05,8.674040129822935e-07,100.0,-10729880614.0,-0.00013812267972923564,7.794424775053876e-07,-4.0602176795800915e-05,False,False,False,0.32499999999999996,11.7,2838952950834621.0,100.0,0.32499999999999996,725.0,8.05114873946064e-11
46511336.5,0.00014163326798666276,5.200447846243073e-07,4.515847410857532e-05,7,0.2761266430421403,1.0408464369503969e-09,7.824901003945808e-11,0.439048748736296,-216.22790765010595,0.04649947995521542,2545268209328582.0,0.8883656656787098,3.317226326936177e-05,99.99985836673201,0.3624994799552154,724.9999548415259,0.09751937709644112,316.22776601683796,0.316,-7.936144773039465e-09,0.7438284854857034,2.4181032304167036e-06,0.3519314463518257,60.0,reflection,p,110.0,8.657386826523237e-07,1007.0,8.731891146694487e-07,0.9999999991976056,89.81616372681445,local,6.190866923158225e-07,3.226215177185795e-05,8.647448116435183e-07,100.0,-46511336.5,0.00014163326798666276,5.200447846243073e-07,4.515847410857532e-05,False,False,False,0.36250000000000004,11.7,2545268162817245.5,100.0,0.36250000000000004,725.0,7.824901003945808e-11
12640467482.5,0.0007425222647441387,7.780796847933757e-07,7.462915664291359e-05,8,0.275882105139666,1.0415284438031596e-09,9.038841144845274e-11,0.39788658376106917,-216.22702349457322,0.08400077807968481,2306661913020611.5,0.8457012275963406,3.314751237771474e-05,100.00074252226474,0.4000007780796848,725.0000746291566,0.10563070101777917,316.22776601683796,0.316,-2.379932788187923e-06,0.7583901619357738,3.168951216130176e-06,0.3485043991344701,60.0,reflection,p,110.0,8.709081515887319e-07,1008.0,8.724158179233899e-07,0.9999999991442979,89.84117395312279,local,2.3571693500664223e-06,3.227271980796102e-05,8.727043975085458e-07,100.0,-12640467482.5,-0.0007425222647441387,-7.780796847933757e-07,-7.462915664291359e-05,False,False,False,0.4,11.7,2306649272553129.0,100.0,0.4,725.0,9.038841144845274e-11
2563634639.0,0.00031687694061588445,8.545081997546333e-07,3.9212325418702676e-05,9,0.2757062924898543,9.499839472239532e-10,7.902453642852312e-11,0.36378201654212405,-216.22744913989735,0.12150085450819975,2108939041397500.0,0.8086433175495742,3.1661628200865724e-05,100.00031687694062,0.43750085450819975,725.0000392123254,0.114517273622607,316.22776601683796,0.316,-5.279304105911948e-07,0.7682694085160304,2.744706699966395e-06,0.3451260399085096,60.0,reflection,p,110.0,8.420568895791897e-07,1009.0,8.718598495085153e-07,0.9999999993099334,90.21738288193852,local,1.1431064931958908e-06,3.082180960333045e-05,8.415287005577926e-07,100.0,-2563634639.0,-0.00031687694061588445,-8.545081997546333e-07,-3.9212325418702676e-05,False,False,False,0.4375,11.7,2108936477762861.0,100.0,0.4375,725.0,7.902453642852312e-11
8386698891.0,7.126840870341766e-06,2.0847067950247045e-06,2.4122777972479525e-05,10,0.2755801342770938,9.911534914567977e-10,1.0456353124845329e-10,0.3350645086382174,-216.22777314367883,0.15899791529320495,1942449879375210.0,0.7760682200059668,3.2323494585743686e-05,99.99999287315913,0.47499791529320495,725.000024122778,0.12416636170762797,316.22776601683796,0.316,-1.8751088259416831e-06,0.7749341513755876,3.1118011217263347e-06,0.34186915450336697,60.0,reflection,p,110.0,8.695800779754311e-07,1010.0,8.714609022106561e-07,0.9999999991578756,90.02514771437383,local,1.3479658518273735e-06,3.1482590291410235e-05,8.682347136608151e-07,100.0,-8386698891.0,7.126840870341766e-06,2.0847067950247045e-06,-2.4122777972479525e-05,False,False,False,0.475,11.7,1942441492676319.0,100.0,0.475,725.0,1.0456353124845329e-10
8952973537.5,0.0006503858365647375,5.881925942641253e-06,6.0352809100550076e-05,11,0.2754902907320431,1.0575475024660735e-09,1.0450856939372469e-10,0.31054266634718025,-216.2271156310014,0.1965058819259426,1800302674385002.2,0.7471327124266297,3.336825874101023e-05,100.00065038583656,0.5125058819259426,724.9999396471909,0.13465693275071106,316.22776601683796,0.316,2.1597575736103743e-06,0.7793364252793317,3.6794563654811343e-06,0.3387549819098477,60.0,reflection,p,110.0,9.139732207127153e-07,1011.0,8.711767919752319e-07,0.9999999992238902,89.68076935937809,local,4.051042014878587e-06,3.251995544993986e-05,9.059889847647878e-07,100.0,8952973537.5,-0.0006503858365647375,-5.881925942641253e-06,6.0352809100550076e-05,False,False,False,0.5125,11.7,1800311627358539.8,100.0,0.5125,725.0,1.0450856939372469e-10
9339505935.25,0.00010492514758198013,2.484943423475272e-06,4.809392589777417e-05,12,0.2754272877979723,9.089592682317417e-10,9.294799280908061e-11,0.28937131640099223,-216.22787094198554,0.2340024849434234,1677553767805431.8,0.7212124464426208,3.0920675137169425e-05,99.99989507485242,0.5500024849434234,724.9999519060741,0.14583346588854715,316.22776601683796,0.316,2.417856690165397e-06,0.7821027551860158,3.542567053755989e-06,0.33578780881145404,60.0,reflection,p,110.0,8.489285894585754e-07,1012.0,8.709775592042948e-07,0.9999999993626429,90.40920880539954,local,1.4243890749227169e-06,3.0148951362058048e-05,8.484073821273167e-07,100.0,9339505935.25,0.00010492514758198013,-2.484943423475272e-06,4.809392589777417e-05,False,False,False,0.5499999999999999,11.7,1677563107311367.0,100.0,0.5499999999999999,725.0,9.294799280908061e-11
7698531950.5,8.891892696283321e-05,2.3575439909162554e-06,4.1510747223583166e-05,13,0.2753843029634085,9.628211060491283e-10,1.0269910292276998e-10,0.27090094371234613,-216.22785493576492,0.27150235754399094,1570476912568052.5,0.6978157489260013,3.180813896371259e-05,99.99991108107304,0.5875023575439909,724.9999584892528,0.1573164661750033,316.22776601683796,0.316,2.1289212998514218e-06,0.7836640607435255,2.8067482245779443e-06,0.33296075247020007,60.0,reflection,p,110.0,8.824836304328017e-07,1013.0,8.708416292222276e-07,0.9999999993471815,90.15747754101415,local,1.2622022252198128e-06,3.102935877599033e-05,8.817668491719586e-07,100.0,7698531950.5,8.891892696283321e-05,-2.3575439909162554e-06,4.1510747223583166e-05,False,False,False,0.5875,11.7,1570484611100003.0,100.0,0.5875,725.0,1.0269910292276998e-10
3755700945.5,0.00024852697167432325,3.143330819743717e-06,6.507366379082669e-08,14,0.2753563608823668,8.908019720374662e-10,1.0421745821443456e-10,0.2546491896616663,-216.22801454380965,0.30899685666918025,1476259290134948.2,0.6765599889104307,3.056010767357196e-05,99.99975147302833,0.6249968566691803,725.0000000650737,0.16954962447623928,316.22776601683796,0.316,-1.1048751950491717e-06,0.7843185864934994,3.265523899794766e-06,0.3302663095162723,60.0,reflection,p,110.0,8.582208780709373e-07,1014.0,8.707532686035709e-07,0.9999999993853277,90.48153196686648,local,1.7227554360655245e-06,2.9846305835688712e-05,8.56181778263401e-07,100.0,-3755700945.5,0.00024852697167432325,3.143330819743717e-06,-6.507366379082669e-08,False,False,False,0.625,11.7,1476255534434002.8,100.0,0.625,725.0,1.0421745821443456e-10
4100476298.75,5.51644202460011e-05,1.5851237429309606e-06,5.606464435459202e-05,15,0.2753397915473775,8.866152325820253e-10,1.1530015763062412e-10,0.24023330157341158,-216.2278211812582,0.3465015851237429,1392689799933138.0,0.6571313489793101,3.049249471584623e-05,99.99994483557975,0.6625015851237429,724.9999439353556,0.18140536175278463,316.22776601683796,0.316,1.2786850368079708e-06,0.784280030571231,3.1170585578221832e-06,0.3276945795529588,60.0,reflection,p,110.0,8.654066042981659e-07,1015.0,8.707008717656902e-07,0.999999999364406,90.48741173971831,local,7.540371646746275e-07,2.977608491024341e-05,8.619034864237054e-07,100.0,4100476298.75,5.51644202460011e-05,-1.5851237429309606e-06,5.606464435459202e-05,False,False,False,0.6625,11.7,1392693900409436.8,100.0,0.6625,725.0,1.1530015763062412e-10
3610485854.25,0.00010755368303705382,2.670301352702964e-06,3.5857163425134786e-05,16,0.2753318596470671,9.38372628122748e-10,9.402711210636872e-11,0.22736507175022,-216.227873570521,0.38399732969864725,1318088909087642.5,0.6392891615372156,3.135943489432545e-05,99.99989244631696,0.6999973296986473,725.0000358571634,0.19357465410755698,316.22776601683796,0.316,-1.1896134018001016e-06,0.783703637335338,2.8871176565928303e-06,0.32777923943748116,60.0,reflection,p,110.0,8.952364086634416e-07,1016.0,8.70675788894536e-07,0.9999999995142591,90.26748479444278,local,1.2171445154655833e-06,3.0632868427928e-05,8.943335035866199e-07,100.0,-3610485854.25,0.00010755368303705382,2.670301352702964e-06,-3.5857163425134786e-05,False,False,False,0.7,11.7,1318085298601788.2,100.0,0.7,725.0,9.402711210636872e-11
3905719268.75,8.370463541496065e-05,1.6850875839136137e-06,2.71668286586646e-05,17,0.2753305073966568,9.03985115691336e-10,1.0290985181491004e-10,0.21580380574943592,-216.22768231220255,0.421498314912416,1251067917951474.5,0.6228241332240759,3.076421704030703e-05,100.00008370463541,0.737498314912416,725.0000271668287,0.20543002604071192,316.22776601683796,0.316,-1.3558296473496155e-06,0.7827049386430087,2.905905645611117e-06,0.3328098780353179,60.0,reflection,p,110.0,8.85679488027774e-07,1017.0,8.706715127032727e-07,0.9999999994990516,90.43114935966143,local,7.472682307104878e-07,3.006634523335578e-05,8.849416188893368e-07,100.0,-3905719268.75,-8.370463541496065e-05,1.6850875839136137e-06,-2.71668286586646e-05,False,False,False,0.7374999999999999,11.7,1251064012232205.8,100.0,0.7374999999999999,725.0,1.0290985181491004e-10
3409028083.5,0.00010546138634026647,3.0364965285523127e-06,2.2733711034561566e-05,18,0.2753341737176356,8.478751027230931e-10,9.824069450721057e-11,0.2053620215134978,-216.2278714782243,0.45899696350347136,1190532065829698.5,0.6075689027613747,2.9787071715724364e-05,99.99989453861366,0.7749969635034714,725.000022733711,0.2175982931642271,316.22776601683796,0.316,-1.243581964334008e-06,0.7813710043176851,3.1946591982912054e-06,0.3376133193881306,60.0,reflection,p,110.0,8.639531033087784e-07,1018.0,8.706831066281988e-07,0.9999999995485227,90.71335447921713,local,1.246034167595258e-06,2.9118294983104578e-05,8.636219787560941e-07,100.0,-3409028083.5,0.00010546138634026647,3.0364965285523127e-06,-2.2733711034561566e-05,False,False,False,0.7749999999999999,11.7,1190528656801615.0,100.0,0.7749999999999999,725.0,9.824069450721057e-11
480677964.0,1.1845842010416163e-05,4.4016883538056106e-07,2.6359694061284245e-05,19,0.2753416654456974,8.84227068047833e-10,9.987335457977086e-11,0.19588311300127637,-216.22777786267997,0.4964995598311646,1135581661011812.2,0.5933817345994281,3.0405882205269277e-05,99.99998815415799,0.8124995598311646,724.9999736403059,0.22907881060328386,316.22776601683796,0.316,-1.8383163333955597e-07,0.7797687358983846,3.3609855322378444e-06,0.34215983780757436,60.0,reflection,p,110.0,8.911623358683554e-07,1019.0,8.707067975524847e-07,0.9999999995640219,90.5066312461544,local,1.70297041413449e-07,2.973595581190948e-05,8.883226022887966e-07,100.0,-480677964.0,1.1845842010416163e-05,4.4016883538056106e-07,2.6359694061284245e-05,False,False,False,0.8125,11.7,1135581180333848.2,100.0,0.8125,725.0,9.987335457977086e-11
1491079692.875,0.00024034984710397111,3.2105775291668692e-06,6.033343197486829e-06,20,0.2753520643903923,8.173253308152816e-10,8.253585493300667e-11,0.18724181676031149,-216.22800636668507,0.5339967894224709,1085483501692930.1,0.5801450648059892,2.9202772691394666e-05,99.9997596501529,0.8499967894224708,725.0000060333432,0.24013686423381544,316.22776601683796,0.316,-5.965711375879235e-07,0.7779501859701041,2.8690419768316947e-06,0.3464333172512166,60.0,reflection,p,110.0,8.600139168832456e-07,1020.0,8.707396819029827e-07,0.9999999996562966,90.87455040889516,local,1.374860517128038e-06,2.8588902231727634e-05,8.598645102610682e-07,100.0,-1491079692.875,0.00024034984710397111,3.2105775291668692e-06,-6.033343197486829e-06,False,False,False,0.85,11.7,1085482010613237.2,100.0,0.85,725.0,8.253585493300667e-11
4517307760.5,0.0003734056225113136,7.170341881801434e-06,1.5192027149169007e-05,21,0.2753646594099399,8.540162445669944e-10,9.180016101220915e-11,0.1793280645051987,-216.22739261121546,0.5715071703418817,1039612056237311.8,0.5677545747592923,2.9867084197274445e-05,100.00037340562251,0.8875071703418818,724.9999848079729,0.25082153555756337,316.22776601683796,0.316,1.887086206203597e-06,0.7759557835704164,3.2347850668873294e-06,0.3504308641617879,60.0,reflection,p,110.0,8.841204573726144e-07,1021.0,8.707795108519276e-07,0.999999999634002,90.68978587119396,local,2.7332449018030953e-06,2.9223556329902666e-05,8.845741139053102e-07,100.0,4517307760.5,-0.0003734056225113136,-7.170341881801434e-06,1.5192027149169007e-05,False,False,False,0.8875,11.7,1039616573545072.2,100.0,0.8875,725.0,9.180016101220915e-11
385653472.625,0.0003111437913645432,3.235713111782168e-06,1.0990761097673385e-05,22,0.2753788962563785,8.031399601252005e-10,8.482177019267422e-11,0.172059999814803,-216.2280771606293,0.6089967642868881,997470341352123.0,0.5561282852346436,2.895564167670757e-05,99.99968885620864,0.9249967642868882,724.9999890092389,0.26092954935538215,316.22776601683796,0.316,-1.6791196741213313e-07,0.7738187567544133,3.244739671428177e-06,0.3541516321736718,60.0,reflection,p,110.0,8.636312885836474e-07,1022.0,8.708245317133716e-07,0.9999999996749247,90.94546030300629,local,1.4376918583186308e-06,2.8339724065791476e-05,8.629732567268802e-07,100.0,-385653472.625,0.0003111437913645432,3.235713111782168e-06,1.0990761097673385e-05,False,False,False,0.9249999999999999,11.7,997469955698650.4,100.0,0.9249999999999999,725.0,8.482177019267422e-11
629562862.125,0.0010142390958662872,9.12992604418239e-06,1.5092627563717542e-05,23,0.2753943403591559,7.773156548909147e-10,8.782822951425284e-11,0.16535421654039195,-216.2267517777421,0.6465091299260441,958608119455071.6,0.5451870611327474,2.8442914703542808e-05,100.00101423909587,0.9625091299260441,725.0000150926276,0.27148462647220745,316.22776601683796,0.316,-2.8522162629014016e-07,0.7715643145470378,2.739060226916311e-06,0.3576058682457406,60.0,reflection,p,110.0,8.541544107324803e-07,1023.0,8.708733702545659e-07,0.9999999996764891,91.09017302450454,local,4.264536474763385e-06,2.7880381182668838e-05,8.537759940665719e-07,100.0,-629562862.125,-0.0010142390958662872,-9.12992604418239e-06,-1.5092627563717542e-05,False,False,False,0.9624999999999999,11.7,958607489892209.5,100.0,0.9624999999999999,725.0,8.782822951425284e-11
1321322755.375,0.00014320802594625093,0.0,3.864368864014978e-06,24,0.2754106492698909,7.620563232818995e-10,8.10027174045814e-11,0.15915494309189535,-216.22762280881201,0.6839999999999999,922661030344007.1,0.534867337290179,2.8172402084425627e-05,100.00014320802595,1.0,724.9999961356311,0.2811997888814114,316.22776601683796,0.316,-6.21944108925845e-07,0.7692130636393311,2.4476338289329547e-06,0.360798063892837,60.0,reflection,p,110.0,8.510857192119267e-07,1024.0,8.709249435586449e-07,0.999999999711939,91.1673687767979,local,4.3978089699425644e-07,2.7605367653445578e-05,8.498360418854264e-07,100.0,-1321322755.375,-0.00014320802594625093,0.0,3.864368864014978e-06,False,False,False,1.0,11.7,922659709021251.8,100.0,1.0,725.0,8.10027174045814e-11
