abs_err_n_cm3,abs_err_sigma_s_per_m,abs_err_tau_ps,abs_err_thickness_um,case_id,clean_peak_abs,data_fit,final_objective_value,fit_gamma_thz,fit_minus_initial_sigma_s_per_m,fit_minus_initial_tau_ps,fit_n_cm3,fit_plasma_freq_thz,fit_sigma,fit_sigma_s_per_m,fit_tau_ps,fit_thickness_um,initial_objective_value,initial_sigma_s_per_m,initial_tau_ps,log10_true_over_fit_n,max_abs_parameter_correlation,max_abs_residual,mean_abs_parameter_correlation,measurement_angle_deg,measurement_mode,measurement_polarization,noise_dynamic_range_db,noise_rms,noise_seed,noise_sigma,objective_improvement_fraction,observed_snr_db,optimizer_stage,recovery_error,relative_l2,residual_rms,sigma_s_per_m,signed_err_n_cm3,signed_err_sigma_s_per_m,signed_err_tau_ps,signed_err_thickness_um,stuck_to_initial,stuck_to_initial_sigma_s_per_m,stuck_to_initial_tau_ps,tau_ps,true_eps_inf,true_n_cm3,true_sigma_s_per_m,true_tau_ps,true_thickness_um,weighted_data_fit
3.212372358233338e+16,1885.2178760460722,0.3429664675061591,10.0,0,0.04443942491307724,1.019258150973996,0.9882857095629354,0.35929343362696503,1668.9901100292343,0.12696646750615914,4.1350320672545896e+16,3.580671087928636,1.0095831570375962,1985.2178760460722,0.44296646750615915,715.0,4.547060804613764,316.22776601683796,0.316,-0.6514373257392384,0.898178879082951,0.044551431599845516,0.48866166622931173,45.0,transmission,p,110.0,1.3473890988628722e-07,1000.0,1.405298006333543e-07,0.7826539489948866,90.60350322467998,local,1.025207623447665,1.0095831570375944,0.004611161370295437,100.0,-3.212372358233338e+16,-1885.2178760460722,-0.3429664675061591,10.0,False,False,False,0.1,11.7,9226597090212516.0,100.0,0.1,725.0,0.9882857095629354
5086014907.0,0.00024172729216331845,2.2815750333471385e-07,5.005191906093387e-05,1,0.08477388895017099,1.0288040765925093e-09,7.791821942173338e-11,1.157492415872546,-216.22800774413014,-0.17850022815750333,6710247343230558.0,1.4424283614695133,3.206193671237607e-05,99.99975827270784,0.13749977184249668,724.9999499480809,2.5599066353419877,316.22776601683796,0.316,3.291722732157321e-07,0.57557544659019,7.812320869378213e-07,0.41012199582886405,45.0,transmission,p,110.0,2.667469267110125e-07,1001.0,2.6807857519272077e-07,0.9999999999695621,89.83776344495176,local,9.003938613364624e-07,3.207497586269566e-05,2.655549602967599e-07,100.0,5086014907.0,0.00024172729216331845,2.2815750333471385e-07,5.005191906093387e-05,False,False,False,0.1375,11.7,6710252429245465.0,100.0,0.1375,725.0,7.791821942173338e-11
650897053.0,0.00010462225961305194,2.0469361025621247e-07,2.0961231939509162e-05,2,0.1312851988455205,1.023369980388272e-09,7.27295814603247e-11,0.9094557538977927,-216.22766139457835,-0.14099979530638976,5272340543510100.0,1.278576493020296,3.197636322173211e-05,100.00010462225961,0.17500020469361025,725.0000209612319,2.032022750923939,316.22776601683796,0.316,5.361584268712027e-08,0.5266518080733297,1.2673769112500404e-06,0.40344598282579414,45.0,transmission,p,110.0,4.0925798458957246e-07,1002.0,4.1516025141995304e-07,0.9999999999642084,89.89121415445723,local,4.819225841616809e-07,3.199015442895316e-05,4.0885978234746295e-07,100.0,650897053.0,-0.00010462225961305194,-2.0469361025621247e-07,-2.0961231939509162e-05,False,False,False,0.175,11.7,5272341194407153.0,100.0,0.175,725.0,7.27295814603247e-11
772947574.5,9.757734204640656e-05,2.451810253434328e-07,6.712915592288482e-06,3,0.17908734302047,1.0000338096455485e-09,6.391912506441532e-11,0.7489635739305334,-216.22766843949591,-0.10349975481897467,4341927269505374.5,1.160289229415584,3.156960673665387e-05,100.00009757734205,0.21250024518102534,724.9999932870844,1.8093883577604397,316.22776601683796,0.316,7.731286489841752e-08,0.6007322580244887,1.5945655257283231e-06,0.3935635549604928,45.0,transmission,p,110.0,5.550253550848125e-07,1003.0,5.663239040525439e-07,0.9999999999646736,89.99137959977062,local,4.640421530265987e-07,3.162331117459948e-05,5.544843259775857e-07,100.0,772947574.5,-9.757734204640656e-05,-2.451810253434328e-07,6.712915592288482e-06,False,False,False,0.2125,11.7,4341928042452949.0,100.0,0.2125,725.0,6.391912506441532e-11
3679712401.0,9.811549180938073e-05,3.971129203250712e-09,1.5299758501896576e-05,4,0.2224365874735982,1.0040911066829056e-09,6.506281215955047e-11,0.636619762255184,-216.22786413232978,-0.0659999960288708,3690635156372606.0,1.069733375324655,3.168280027719798e-05,99.99990188450819,0.2500000039711292,724.9999847002415,1.6774540225621994,316.22776601683796,0.316,4.3300893378883356e-07,0.6611622529344768,2.671614370037783e-06,0.38429743023573587,45.0,transmission,p,110.0,7.040081951945385e-07,1004.0,7.034062513718492e-07,0.9999999999612134,89.9728731261227,local,3.0134502029741537e-07,3.168739665360513e-05,7.032475492231997e-07,100.0,3679712401.0,9.811549180938073e-05,-3.971129203250712e-09,1.5299758501896576e-05,False,False,False,0.25,11.7,3690638836085007.0,100.0,0.25,725.0,6.506281215955047e-11
9500362609619458.0,1277.497429135032,0.7125,10.0,5,0.2622368315519356,0.8796634691876329,0.619771187372968,0.15915494309189535,1061.269663118194,0.6839999999999999,1.2709613771432508e+16,1.9851401135087363,0.9379037632868463,1377.497429135032,1.0,715.0,1.5837166264624303,316.22776601683796,0.316,-0.5977286460133476,0.8475438599378834,0.19443135881852858,0.3658816036048031,45.0,transmission,p,110.0,8.302378944250676e-07,1005.0,8.292656740900244e-07,0.6086603013334781,90.1045076736946,local,0.8917961712997107,0.9379037632868487,0.024922215088558287,100.0,-9500362609619458.0,-1277.497429135032,-0.7125,10.0,False,False,False,0.2875,11.7,3209251161813049.5,100.0,0.2875,725.0,0.619771187372968
9456477661421416.0,1232.6072973641506,0.675,10.0,6,0.2956120184211588,0.8415527821754956,0.6292985692949825,0.15915494309189535,1016.3795313473126,0.6839999999999999,1.2295430612256038e+16,1.9525261554585058,0.9173618599959885,1332.6072973641506,1.0,715.0,1.5106116362014985,316.22776601683796,0.316,-0.6365855481162341,0.8467793376182635,0.22427985189918243,0.36482329829405274,45.0,transmission,p,110.0,9.268449093326202e-07,1006.0,9.34807281930514e-07,0.583414721418814,90.37124810001019,local,0.8669523813453772,0.9173618599960954,0.028061415886416082,100.0,-9456477661421416.0,-1232.6072973641506,-0.675,10.0,False,False,False,0.32499999999999996,11.7,2838952950834621.0,100.0,0.32499999999999996,725.0,0.6292985692949825
9406359627353716.0,1195.34514982226,0.6375,10.0,7,0.3264952192400215,0.8243850895429079,0.6404698835530676,0.15915494309189535,979.1173838054222,0.6839999999999999,1.1951627790170962e+16,1.9250345049721342,0.9079565460653208,1295.34514982226,1.0,715.0,1.4518290668642484,316.22776601683796,0.316,-0.6716935142209512,0.8461157981057548,0.2463958990309312,0.36389585113398687,45.0,transmission,p,110.0,1.0236590641273677e-06,1007.0,1.0324685379544973e-06,0.5588531059400852,90.48349829224733,local,0.8460528757807452,0.9079565460653433,0.03107390248739425,100.0,-9406359627353716.0,-1195.34514982226,-0.6375,10.0,False,False,False,0.36250000000000004,11.7,2545268162817245.5,100.0,0.36250000000000004,725.0,0.6404698835530676
9352881174276548.0,1163.686962032621,0.6,10.0,8,0.3494999765961638,0.8171897308156846,0.6517993851975622,0.15915494309189535,947.4591960157832,0.6839999999999999,1.1659530446829676e+16,1.9013651043328679,0.9039854704670102,1263.686962032621,1.0,715.0,1.4035150152306282,316.22776601683796,0.316,-0.7036994960502941,0.845529696572604,0.2649495068502168,0.3630702450132755,45.0,transmission,p,110.0,1.1033059880545424e-06,1008.0,1.1052159682194202e-06,0.5355950038835479,90.62396656383163,local,0.8282408613642428,0.9039854704671336,0.03388876711243626,100.0,-9352881174276548.0,-1163.686962032621,-0.6,10.0,False,False,False,0.4,11.7,2306649272553129.0,100.0,0.4,725.0,0.6517993851975622
9300797431813916.0,1136.6134337523106,0.5625,10.0,9,0.3722022999056308,0.8150488170336181,0.6626371382812727,0.15915494309189535,920.3856677354727,0.6839999999999999,1.1409733909576778e+16,1.8808871817410209,0.9028005411128254,1236.6134337523106,1.0,715.0,1.3632918221183463,316.22776601683796,0.316,-0.7332120174354778,0.8450110165982373,0.2904438809722036,0.36233493381742665,45.0,transmission,p,110.0,1.136773151321144e-06,1009.0,1.1770070180548676e-06,0.5139432896680651,91.01615729714153,local,0.8129796365358732,0.9028005411128296,0.036481585517504904,100.0,-9300797431813916.0,-1136.6134337523106,-0.5625,10.0,False,False,False,0.4375,11.7,2108936477762861.0,100.0,0.4375,725.0,0.6626371382812727
